iso,ms,ev,dist,rssi,off,jit,rtt,sent,got,lost,seq,golat
2026-09-22T12:59:45.753Z,1790081985753.0,ping,0,-48,-1790081927283.379,4.50,9.00,1,1,0,,
2026-09-22T12:59:46.031Z,1790081986031.0,ping,0,-48,-1790081927283.379,4.50,34.00,2,2,0,,
2026-09-22T12:59:46.271Z,1790081986271.0,ping,0,-49,-1790081927283.379,4.50,22.00,3,3,0,,
2026-09-22T12:59:46.509Z,1790081986508.0,ping,0,-49,-1790081927285.463,4.00,8.00,4,4,0,,
2026-09-22T12:59:46.762Z,1790081986761.0,ping,0,-51,-1790081927285.463,4.00,9.00,5,5,0,,
2026-09-22T12:59:47.016Z,1790081987015.0,ping,0,-52,-1790081927285.463,4.00,11.00,6,6,0,,
2026-09-22T12:59:47.282Z,1790081987282.0,ping,0,-53,-1790081927285.463,4.00,26.00,7,7,0,,
2026-09-22T12:59:47.289Z,1790081987289.0,go,0,-53,-1790081927285.463,4.00,,7,7,0,12,2.04
2026-09-22T12:59:47.520Z,1790081987520.0,ping,0,-55,-1790081927285.463,4.00,12.00,8,8,0,,
2026-09-22T12:59:47.775Z,1790081987775.0,ping,0,-56,-1790081927285.463,4.00,14.00,9,9,0,,
2026-09-22T12:59:48.024Z,1790081988024.0,ping,0,-57,-1790081927285.463,4.00,11.00,10,10,0,,
2026-09-22T12:59:48.275Z,1790081988274.0,ping,0,-58,-1790081927285.463,4.00,9.00,11,11,0,,
2026-09-22T12:59:48.527Z,1790081988527.0,ping,0,-59,-1790081927285.463,4.00,10.00,12,12,0,,
2026-09-22T12:59:48.776Z,1790081988775.0,ping,0,-59,-1790081927284.223,3.00,6.00,13,13,0,,
2026-09-22T12:59:49.030Z,1790081989030.0,ping,0,-58,-1790081927284.223,3.00,9.00,14,14,0,,
2026-09-22T12:59:49.281Z,1790081989281.0,ping,0,-58,-1790081927284.223,3.00,9.00,15,15,0,,
2026-09-22T12:59:49.534Z,1790081989534.0,ping,0,-58,-1790081927284.223,3.00,9.00,16,16,0,,
2026-09-22T12:59:49.790Z,1790081989790.0,ping,0,-59,-1790081927284.223,3.00,13.00,17,17,0,,
2026-09-22T12:59:50.038Z,1790081990037.0,ping,0,-59,-1790081927284.223,3.00,8.00,18,18,0,,
2026-09-22T12:59:50.291Z,1790081990291.0,ping,0,-58,-1790081927284.223,3.00,10.00,19,19,0,,
2026-09-22T12:59:50.545Z,1790081990545.0,ping,0,-57,-1790081927284.223,3.00,12.00,20,20,0,,
2026-09-22T12:59:50.791Z,1790081990791.0,ping,0,-57,-1790081927284.223,3.00,6.00,21,21,0,,
2026-09-22T12:59:51.044Z,1790081991044.0,ping,0,-56,-1790081927284.223,3.00,7.00,22,22,0,,
2026-09-22T12:59:51.298Z,1790081991298.0,ping,0,-56,-1790081927284.223,3.00,9.00,23,23,0,,
2026-09-22T12:59:51.553Z,1790081991552.0,ping,0,-56,-1790081927284.223,3.00,12.00,24,24,0,,
2026-09-22T12:59:51.802Z,1790081991802.0,ping,0,-56,-1790081927284.223,3.00,9.00,25,25,0,,
2026-09-22T12:59:52.052Z,1790081992052.0,ping,0,-56,-1790081927284.223,3.00,7.00,26,26,0,,
2026-09-22T12:59:52.305Z,1790081992305.0,go,0,-56,-1790081927284.223,3.00,,27,26,0,13,19.28
2026-09-22T12:59:52.311Z,1790081992311.0,ping,0,-56,-1790081927284.223,3.00,14.00,27,27,0,,
2026-09-22T12:59:52.558Z,1790081992558.0,ping,0,-56,-1790081927284.223,3.00,10.00,28,28,0,,
2026-09-22T12:59:52.810Z,1790081992810.0,ping,0,-56,-1790081927284.223,3.00,10.00,29,29,0,,
2026-09-22T12:59:53.066Z,1790081993066.0,ping,0,-56,-1790081927284.223,3.00,12.00,30,30,0,,
2026-09-22T12:59:53.320Z,1790081993319.0,ping,0,-56,-1790081927284.223,3.00,14.00,31,31,0,,
2026-09-22T12:59:53.566Z,1790081993566.0,ping,0,-56,-1790081927284.223,3.00,9.00,32,32,0,,
2026-09-22T12:59:53.817Z,1790081993817.0,ping,0,-56,-1790081927284.223,3.00,8.00,33,33,0,,
2026-09-22T12:59:54.070Z,1790081994070.0,ping,0,-56,-1790081927284.223,3.00,9.00,34,34,0,,
2026-09-22T12:59:54.319Z,1790081994319.0,ping,0,-56,-1790081927284.223,3.00,7.00,35,35,0,,
2026-09-22T12:59:54.575Z,1790081994574.0,ping,0,-56,-1790081927284.223,3.00,9.00,36,36,0,,
2026-09-22T12:59:54.826Z,1790081994826.0,ping,0,-56,-1790081927284.223,3.00,9.00,37,37,0,,
2026-09-22T12:59:55.078Z,1790081995077.0,ping,0,-56,-1790081927284.223,3.00,9.00,38,38,0,,
2026-09-22T12:59:55.329Z,1790081995329.0,ping,0,-56,-1790081927284.223,3.00,8.00,39,39,0,,
2026-09-22T12:59:55.581Z,1790081995580.0,ping,0,-56,-1790081927284.223,3.00,7.00,40,40,0,,
2026-09-22T12:59:55.833Z,1790081995833.0,ping,0,-56,-1790081927284.223,3.00,9.00,41,41,0,,
2026-09-22T12:59:56.087Z,1790081996086.0,ping,0,-56,-1790081927284.223,3.00,9.00,42,42,0,,
2026-09-22T12:59:56.339Z,1790081996339.0,ping,0,-56,-1790081927284.223,3.00,10.00,43,43,0,,
2026-09-22T12:59:56.590Z,1790081996590.0,ping,0,-56,-1790081927284.223,3.00,9.00,44,44,0,,
2026-09-22T12:59:56.844Z,1790081996843.0,ping,0,-56,-1790081927284.223,3.00,11.00,45,45,0,,
2026-09-22T12:59:57.099Z,1790081997099.0,ping,0,-56,-1790081927284.223,3.00,14.00,46,46,0,,
2026-09-22T12:59:57.345Z,1790081997345.0,go,0,-56,-1790081927284.223,3.00,,47,46,0,14,59.28
2026-09-22T12:59:57.351Z,1790081997351.0,ping,0,-56,-1790081927284.223,3.00,13.00,47,47,0,,
2026-09-22T12:59:57.598Z,1790081997598.0,ping,0,-56,-1790081927284.223,3.00,9.00,48,48,0,,
2026-09-22T12:59:57.851Z,1790081997851.0,ping,0,-56,-1790081927284.223,3.00,10.00,49,49,0,,
2026-09-22T12:59:58.099Z,1790081998099.0,ping,0,-56,-1790081927284.223,3.00,6.00,50,50,0,,
2026-09-22T12:59:58.351Z,1790081998351.0,ping,0,-56,-1790081927284.223,3.00,6.00,51,51,0,,
2026-09-22T12:59:58.625Z,1790081998625.0,ping,0,-56,-1790081927284.223,3.00,28.00,52,52,0,,
2026-09-22T12:59:58.858Z,1790081998857.0,ping,0,-56,-1790081927284.223,3.00,8.00,53,53,0,,
2026-09-22T12:59:59.109Z,1790081999109.0,ping,0,-56,-1790081927284.223,3.00,9.00,54,54,0,,
2026-09-22T12:59:59.361Z,1790081999361.0,ping,0,-56,-1790081927284.223,3.00,9.00,55,55,0,,
2026-09-22T12:59:59.616Z,1790081999616.0,ping,0,-56,-1790081927284.223,3.00,11.00,56,56,0,,
2026-09-22T12:59:59.865Z,1790081999865.0,ping,0,-56,-1790081927284.223,3.00,8.00,57,57,0,,
2026-09-22T13:00:00.121Z,1790082000121.0,ping,0,-55,-1790081927284.223,3.00,12.00,58,58,0,,
2026-09-22T13:00:00.366Z,1790082000366.0,ping,0,-55,-1790081927284.205,2.50,5.00,59,59,0,,
2026-09-22T13:00:00.626Z,1790082000626.0,ping,0,-55,-1790081927284.205,2.50,14.00,60,60,0,,
2026-09-22T13:00:00.872Z,1790082000872.0,ping,0,-55,-1790081927284.205,2.50,7.00,61,61,0,,
2026-09-22T13:00:01.126Z,1790082001126.0,ping,0,-56,-1790081927284.205,2.50,9.00,62,62,0,,
2026-09-22T13:00:01.376Z,1790082001376.0,ping,0,-57,-1790081927284.205,2.50,7.00,63,63,0,,
2026-09-22T13:00:01.632Z,1790082001632.0,ping,0,-57,-1790081927284.205,2.50,11.00,64,64,0,,
2026-09-22T13:00:01.881Z,1790082001880.0,ping,0,-57,-1790081927284.205,2.50,7.00,65,65,0,,
2026-09-22T13:00:02.135Z,1790082002135.0,ping,0,-57,-1790081927284.205,2.50,10.00,66,66,0,,
