iso,ms,ev,dist,rssi,off,jit,rtt,sent,got,lost,seq,golat
2026-09-22T13:00:59.772Z,1790082059772.0,ping,0,-55,-1790081927282.724,4.00,8.00,1,1,0,,
2026-09-22T13:01:00.033Z,1790082060033.0,ping,0,-55,-1790081927282.724,4.00,17.00,2,2,0,,
2026-09-22T13:01:00.282Z,1790082060282.0,ping,0,-55,-1790081927282.724,4.00,13.00,3,3,0,,
2026-09-22T13:01:00.526Z,1790082060526.0,ping,0,-55,-1790081927283.422,2.50,5.00,4,4,0,,
2026-09-22T13:01:00.780Z,1790082060780.0,ping,0,-55,-1790081927283.422,2.50,7.00,5,5,0,,
2026-09-22T13:01:01.030Z,1790082061030.0,ping,0,-55,-1790081927283.422,2.50,5.00,6,6,0,,
2026-09-22T13:01:01.290Z,1790082061290.0,ping,0,-55,-1790081927283.422,2.50,13.00,7,7,0,,
2026-09-22T13:01:01.535Z,1790082061535.0,ping,0,-55,-1790081927283.422,2.50,6.00,8,8,0,,
2026-09-22T13:01:01.787Z,1790082061787.0,ping,0,-54,-1790081927283.422,2.50,6.00,9,9,0,,
2026-09-22T13:01:02.056Z,1790082062056.0,ping,0,-55,-1790081927283.422,2.50,24.00,10,10,0,,
2026-09-22T13:01:02.291Z,1790082062291.0,ping,0,-56,-1790081927283.422,2.50,7.00,11,11,0,,
2026-09-22T13:01:02.311Z,1790082062311.0,go,0,-56,-1790081927283.422,2.50,,11,11,0,27,3.08
2026-09-22T13:01:02.548Z,1790082062548.0,ping,0,-56,-1790081927283.422,2.50,11.00,12,12,0,,
2026-09-22T13:01:02.797Z,1790082062797.0,ping,0,-56,-1790081927283.422,2.50,9.00,13,13,0,,
2026-09-22T13:01:03.050Z,1790082063050.0,ping,0,-56,-1790081927283.422,2.50,10.00,14,14,0,,
2026-09-22T13:01:03.301Z,1790082063301.0,ping,0,-56,-1790081927283.422,2.50,8.00,15,15,0,,
2026-09-22T13:01:03.555Z,1790082063555.0,ping,0,-57,-1790081927283.422,2.50,10.00,16,16,0,,
2026-09-22T13:01:03.801Z,1790082063801.0,ping,0,-57,-1790081927283.422,2.50,5.00,17,17,0,,
2026-09-22T13:01:04.057Z,1790082064057.0,ping,0,-57,-1790081927283.422,2.50,9.00,18,18,0,,
2026-09-22T13:01:04.310Z,1790082064310.0,ping,0,-57,-1790081927283.422,2.50,10.00,19,19,0,,
2026-09-22T13:01:04.559Z,1790082064559.0,ping,0,-57,-1790081927283.422,2.50,7.00,20,20,0,,
2026-09-22T13:01:04.814Z,1790082064814.0,ping,0,-57,-1790081927283.422,2.50,10.00,21,21,0,,
2026-09-22T13:01:05.068Z,1790082065068.0,ping,0,-57,-1790081927283.422,2.50,12.00,22,22,0,,
2026-09-22T13:01:05.315Z,1790082065315.0,ping,0,-57,-1790081927283.422,2.50,6.00,23,23,0,,
2026-09-22T13:01:05.568Z,1790082065568.0,ping,0,-57,-1790081927283.422,2.50,7.00,24,24,0,,
2026-09-22T13:01:05.826Z,1790082065826.0,ping,0,-57,-1790081927283.422,2.50,13.00,25,25,0,,
2026-09-22T13:01:06.074Z,1790082066074.0,ping,0,-57,-1790081927283.422,2.50,9.00,26,26,0,,
2026-09-22T13:01:06.333Z,1790082066333.0,ping,0,-57,-1790081927283.422,2.50,16.00,27,27,0,,
2026-09-22T13:01:06.576Z,1790082066576.0,ping,0,-57,-1790081927283.422,2.50,7.00,28,28,0,,
2026-09-22T13:01:06.831Z,1790082066832.0,ping,0,-57,-1790081927283.422,2.50,10.00,29,29,0,,
2026-09-22T13:01:07.088Z,1790082067088.0,ping,0,-57,-1790081927283.422,2.50,15.00,30,30,0,,
2026-09-22T13:01:07.312Z,1790082067312.0,go,0,-57,-1790081927283.422,2.50,,30,30,0,28,3.08
2026-09-22T13:01:07.330Z,1790082067330.0,ping,0,-57,-1790081927283.422,2.50,6.00,31,31,0,,
2026-09-22T13:01:07.586Z,1790082067586.0,ping,0,-57,-1790081927283.422,2.50,9.00,32,32,0,,
2026-09-22T13:01:07.835Z,1790082067835.0,ping,0,-57,-1790081927283.422,2.50,6.00,33,33,0,,
2026-09-22T13:01:08.087Z,1790082068087.0,ping,0,-57,-1790081927283.422,2.50,7.00,34,34,0,,
2026-09-22T13:01:08.356Z,1790082068356.0,ping,0,-58,-1790081927283.422,2.50,24.00,35,35,0,,
2026-09-22T13:01:08.590Z,1790082068590.0,ping,0,-58,-1790081927283.422,2.50,6.00,36,36,0,,
2026-09-22T13:01:08.843Z,1790082068843.0,ping,0,-58,-1790081927283.422,2.50,6.00,37,37,0,,
2026-09-22T13:01:09.101Z,1790082069101.0,ping,0,-56,-1790081927283.422,2.50,12.00,38,38,0,,
2026-09-22T13:01:09.350Z,1790082069350.0,ping,0,-55,-1790081927283.422,2.50,10.00,39,39,0,,
2026-09-22T13:01:09.602Z,1790082069602.0,ping,0,-54,-1790081927283.422,2.50,9.00,40,40,0,,
2026-09-22T13:01:09.852Z,1790082069852.0,ping,0,-55,-1790081927283.422,2.50,8.00,41,41,0,,
2026-09-22T13:01:10.105Z,1790082070105.0,ping,0,-58,-1790081927283.422,2.50,9.00,42,42,0,,
2026-09-22T13:01:10.360Z,1790082070360.0,ping,0,-58,-1790081927283.422,2.50,10.00,43,43,0,,
2026-09-22T13:01:10.610Z,1790082070610.0,ping,0,-59,-1790081927283.422,2.50,9.00,44,44,0,,
2026-09-22T13:01:10.862Z,1790082070862.0,ping,0,-60,-1790081927283.422,2.50,9.00,45,45,0,,
2026-09-22T13:01:11.112Z,1790082071112.0,ping,0,-63,-1790081927283.422,2.50,7.00,46,46,0,,
2026-09-22T13:01:11.371Z,1790082071371.0,ping,0,-64,-1790081927283.422,2.50,14.00,47,47,0,,
2026-09-22T13:01:11.616Z,1790082071616.0,ping,0,-64,-1790081927283.422,2.50,7.00,48,48,0,,
2026-09-22T13:01:11.870Z,1790082071870.0,ping,0,-64,-1790081927283.422,2.50,9.00,49,49,0,,
2026-09-22T13:01:12.121Z,1790082072122.0,ping,0,-65,-1790081927283.422,2.50,8.00,50,50,0,,
2026-09-22T13:01:12.317Z,1790082072317.0,go,0,-65,-1790081927283.422,2.50,,50,50,0,29,8.08
2026-09-22T13:01:12.376Z,1790082072377.0,ping,0,-67,-1790081927283.422,2.50,12.00,51,51,0,,
2026-09-22T13:01:12.628Z,1790082072628.0,ping,0,-69,-1790081927283.422,2.50,11.00,52,52,0,,
2026-09-22T13:01:12.880Z,1790082072880.0,ping,0,-71,-1790081927283.422,2.50,11.00,53,53,0,,
2026-09-22T13:01:13.129Z,1790082073129.0,ping,0,-73,-1790081927283.422,2.50,8.00,54,54,0,,
2026-09-22T13:01:13.382Z,1790082073382.0,ping,0,-74,-1790081927283.422,2.50,10.00,55,55,0,,
2026-09-22T13:01:13.634Z,1790082073634.0,ping,0,-74,-1790081927283.422,2.50,9.00,56,56,0,,
2026-09-22T13:01:13.883Z,1790082073883.0,ping,0,-74,-1790081927283.422,2.50,6.00,57,57,0,,
2026-09-22T13:01:14.159Z,1790082074159.0,ping,0,-75,-1790081927283.422,2.50,30.00,58,58,0,,
2026-09-22T13:01:14.386Z,1790082074386.0,ping,0,-74,-1790081927283.422,2.50,6.00,59,59,0,,
2026-09-22T13:01:14.641Z,1790082074641.0,ping,0,-74,-1790081927283.422,2.50,8.00,60,60,0,,
2026-09-22T13:01:14.890Z,1790082074890.0,ping,0,-73,-1790081927283.422,2.50,6.00,61,61,0,,
2026-09-22T13:01:15.145Z,1790082075145.0,ping,0,-74,-1790081927283.422,2.50,8.00,62,62,0,,
2026-09-22T13:01:15.396Z,1790082075396.0,ping,0,-74,-1790081927283.422,2.50,7.00,63,63,0,,
2026-09-22T13:01:15.665Z,1790082075665.0,ping,0,-72,-1790081927283.880,2.50,24.00,64,64,0,,
2026-09-22T13:01:15.902Z,1790082075903.0,ping,0,-71,-1790081927283.880,2.50,10.00,65,65,0,,
2026-09-22T13:01:16.155Z,1790082076155.0,ping,0,-70,-1790081927283.380,2.50,10.00,66,66,0,,
2026-09-22T13:01:16.403Z,1790082076403.0,ping,0,-70,-1790081927283.380,2.50,6.00,67,67,0,,
2026-09-22T13:01:16.661Z,1790082076661.0,ping,0,-70,-1790081927283.380,2.50,12.00,68,68,0,,
2026-09-22T13:01:16.916Z,1790082076916.0,ping,0,-71,-1790081927283.380,2.50,15.00,69,69,0,,
2026-09-22T13:01:16.948Z,1790082076948.0,mark,10,-71,-1790081927283.380,2.50,,69,69,0,,
2026-09-22T13:01:17.159Z,1790082077159.0,ping,10,-70,-1790081927283.380,2.50,6.00,70,70,0,,
2026-09-22T13:01:17.313Z,1790082077313.0,go,10,-70,-1790081927283.380,2.50,,70,70,0,30,5.12
2026-09-22T13:01:17.413Z,1790082077413.0,ping,10,-70,-1790081927283.380,2.50,8.00,71,71,0,,
2026-09-22T13:01:17.665Z,1790082077665.0,ping,10,-71,-1790081927283.380,2.50,8.00,72,72,0,,
2026-09-22T13:01:17.919Z,1790082077919.0,ping,10,-73,-1790081927283.380,2.50,10.00,73,73,0,,
2026-09-22T13:01:18.170Z,1790082078170.0,ping,10,-73,-1790081927283.380,2.50,9.00,74,74,0,,
2026-09-22T13:01:18.433Z,1790082078433.0,ping,10,-74,-1790081927283.380,2.50,20.00,75,75,0,,
2026-09-22T13:01:18.670Z,1790082078671.0,ping,10,-74,-1790081927283.380,2.50,6.00,76,76,0,,
2026-09-22T13:01:18.929Z,1790082078929.0,ping,10,-75,-1790081927283.429,3.00,12.00,77,77,0,,
2026-09-22T13:01:19.181Z,1790082079181.0,ping,10,-75,-1790081927283.429,3.00,12.00,78,78,0,,
2026-09-22T13:01:19.441Z,1790082079441.0,ping,10,-75,-1790081927283.429,3.00,20.00,79,79,0,,
2026-09-22T13:01:19.691Z,1790082079691.0,ping,10,-75,-1790081927283.429,3.00,18.00,80,80,0,,
2026-09-22T13:01:19.943Z,1790082079943.0,ping,10,-76,-1790081927283.429,3.00,18.00,81,81,0,,
2026-09-22T13:01:20.197Z,1790082080197.0,ping,10,-77,-1790081927283.429,3.00,21.00,82,82,0,,
2026-09-22T13:01:20.436Z,1790082080436.0,ping,10,-78,-1790081927283.475,3.00,7.00,83,83,0,,
2026-09-22T13:01:20.692Z,1790082080692.0,ping,10,-77,-1790081927283.475,3.00,11.00,84,84,0,,
2026-09-22T13:01:20.939Z,1790082080939.0,ping,10,-77,-1790081927283.475,3.00,6.00,85,85,0,,
2026-09-22T13:01:21.194Z,1790082081194.0,ping,10,-76,-1790081927283.475,3.00,9.00,86,86,0,,
2026-09-22T13:01:21.446Z,1790082081446.0,ping,10,-75,-1790081927283.475,3.00,9.00,87,87,0,,
2026-09-22T13:01:21.706Z,1790082081706.0,ping,10,-74,-1790081927283.475,3.00,17.00,88,88,0,,
2026-09-22T13:01:21.973Z,1790082081973.0,ping,10,-72,-1790081927283.475,3.00,32.00,89,89,0,,
2026-09-22T13:01:22.206Z,1790082082206.0,ping,10,-71,-1790081927283.475,3.00,13.00,90,90,0,,
2026-09-22T13:01:22.451Z,1790082082451.0,go,10,-71,-1790081927283.475,3.00,,91,90,0,31,143.03
2026-09-22T13:01:22.466Z,1790082082466.0,ping,10,-71,-1790081927283.513,3.00,22.00,91,91,0,,
2026-09-22T13:01:22.709Z,1790082082709.0,ping,10,-71,-1790081927283.513,3.00,12.00,92,92,0,,
2026-09-22T13:01:22.957Z,1790082082957.0,ping,10,-71,-1790081927282.952,3.00,8.00,93,93,0,,
2026-09-22T13:01:23.218Z,1790082083219.0,ping,10,-71,-1790081927282.952,3.00,17.00,94,94,0,,
2026-09-22T13:01:23.464Z,1790082083464.0,ping,10,-72,-1790081927282.952,3.00,11.00,95,95,0,,
2026-09-22T13:01:23.641Z,1790082083641.0,mark,20,-72,-1790081927282.952,3.00,,95,95,0,,
2026-09-22T13:01:23.712Z,1790082083712.0,ping,20,-73,-1790081927283.710,3.00,7.00,96,96,0,,
2026-09-22T13:01:23.966Z,1790082083966.0,ping,20,-73,-1790081927283.634,3.00,9.00,97,97,0,,
