# accel_live capture
# started_utc: 2026-09-03T12:33:00.953876+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,172265369,0.0242,-0.0371,1.0167,2026-09-03T12:33:00.959421+00:00
0.004286,172269655,0.0242,-0.0381,1.0153,2026-09-03T12:33:00.961743+00:00
0.008675,172274044,0.0259,-0.0354,1.0160,2026-09-03T12:33:00.968165+00:00
0.013012,172278381,0.0276,-0.0334,1.0182,2026-09-03T12:33:00.970526+00:00
0.017330,172282699,0.0254,-0.0325,1.0192,2026-09-03T12:33:00.974736+00:00
0.021676,172287045,0.0246,-0.0312,1.0209,2026-09-03T12:33:00.979045+00:00
0.025906,172291275,0.0239,-0.0320,1.0199,2026-09-03T12:33:00.983356+00:00
0.030274,172295643,0.0254,-0.0325,1.0177,2026-09-03T12:33:00.987760+00:00
0.034601,172299970,0.0254,-0.0317,1.0185,2026-09-03T12:33:00.994042+00:00
0.038943,172304312,0.0254,-0.0307,1.0182,2026-09-03T12:33:00.996484+00:00
0.043336,172308705,0.0244,-0.0361,1.0167,2026-09-03T12:33:01.000729+00:00
0.047565,172312934,0.0237,-0.0361,1.0160,2026-09-03T12:33:01.005044+00:00
0.051846,172317215,0.0244,-0.0373,1.0155,2026-09-03T12:33:01.009339+00:00
0.056130,172321499,0.0246,-0.0388,1.0167,2026-09-03T12:33:01.013577+00:00
0.060369,172325738,0.0246,-0.0388,1.0163,2026-09-03T12:33:01.017878+00:00
0.064672,172330041,0.0254,-0.0383,1.0150,2026-09-03T12:33:01.022291+00:00
0.069046,172334415,0.0244,-0.0376,1.0165,2026-09-03T12:33:01.026719+00:00
0.073399,172338768,0.0268,-0.0373,1.0172,2026-09-03T12:33:01.031060+00:00
0.077757,172343126,0.0251,-0.0361,1.0167,2026-09-03T12:33:01.035353+00:00
0.082032,172347401,0.0251,-0.0356,1.0172,2026-09-03T12:33:01.039702+00:00
0.086372,172351741,0.0256,-0.0346,1.0172,2026-09-03T12:33:01.043994+00:00
0.090640,172356009,0.0251,-0.0339,1.0165,2026-09-03T12:33:01.048232+00:00
0.094901,172360270,0.0246,-0.0325,1.0158,2026-09-03T12:33:01.052633+00:00
0.099241,172364610,0.0246,-0.0332,1.0192,2026-09-03T12:33:01.056890+00:00
0.103514,172368883,0.0246,-0.0332,1.0194,2026-09-03T12:33:01.064225+00:00
0.107815,172373184,0.0254,-0.0337,1.0187,2026-09-03T12:33:01.065760+00:00
0.112147,172377516,0.0254,-0.0329,1.0170,2026-09-03T12:33:01.070023+00:00
0.116486,172381855,0.0234,-0.0349,1.0185,2026-09-03T12:33:01.075185+00:00
0.120795,172386164,0.0242,-0.0354,1.0194,2026-09-03T12:33:01.079800+00:00
0.125167,172390536,0.0246,-0.0361,1.0155,2026-09-03T12:33:01.083049+00:00
0.129446,172394815,0.0237,-0.0378,1.0155,2026-09-03T12:33:01.087689+00:00
0.133760,172399129,0.0254,-0.0386,1.0167,2026-09-03T12:33:01.091745+00:00
0.138092,172403461,0.0259,-0.0371,1.0158,2026-09-03T12:33:01.095926+00:00
0.142415,172407784,0.0234,-0.0364,1.0143,2026-09-03T12:33:01.100212+00:00
0.146709,172412078,0.0249,-0.0361,1.0150,2026-09-03T12:33:01.104613+00:00
0.151081,172416450,0.0244,-0.0361,1.0172,2026-09-03T12:33:01.109022+00:00
0.155463,172420832,0.0246,-0.0356,1.0180,2026-09-03T12:33:01.113333+00:00
0.159736,172425105,0.0259,-0.0342,1.0160,2026-09-03T12:33:01.117639+00:00
0.164038,172429407,0.0251,-0.0346,1.0185,2026-09-03T12:33:01.121937+00:00
0.168319,172433688,0.0237,-0.0337,1.0170,2026-09-03T12:33:01.126203+00:00
0.172622,172437991,0.0234,-0.0337,1.0175,2026-09-03T12:33:01.130611+00:00
0.176940,172442309,0.0244,-0.0339,1.0177,2026-09-03T12:33:01.134981+00:00
0.181263,172446632,0.0237,-0.0337,1.0172,2026-09-03T12:33:01.139237+00:00
0.185573,172450942,0.0242,-0.0339,1.0163,2026-09-03T12:33:01.143645+00:00
0.189921,172455290,0.0237,-0.0356,1.0160,2026-09-03T12:33:01.147965+00:00
0.194288,172459657,0.0237,-0.0346,1.0180,2026-09-03T12:33:01.152373+00:00
0.198610,172463979,0.0246,-0.0361,1.0182,2026-09-03T12:33:01.156728+00:00
0.202956,172468325,0.0249,-0.0386,1.0170,2026-09-03T12:33:01.160992+00:00
0.207216,172472585,0.0251,-0.0359,1.0177,2026-09-03T12:33:01.165339+00:00
0.211558,172476927,0.0234,-0.0366,1.0167,2026-09-03T12:33:01.169737+00:00
0.215900,172481269,0.0254,-0.0359,1.0175,2026-09-03T12:33:01.174141+00:00
0.220283,172485652,0.0242,-0.0364,1.0167,2026-09-03T12:33:01.178485+00:00
0.224594,172489963,0.0242,-0.0344,1.0180,2026-09-03T12:33:01.182753+00:00
0.228890,172494259,0.0232,-0.0359,1.0175,2026-09-03T12:33:01.187182+00:00
0.233355,172498724,0.0244,-0.0342,1.0177,2026-09-03T12:33:01.191526+00:00
0.237631,172503000,0.0256,-0.0349,1.0163,2026-09-03T12:33:01.195897+00:00
0.242019,172507388,0.0256,-0.0344,1.0194,2026-09-03T12:33:01.200321+00:00
0.246388,172511757,0.0254,-0.0354,1.0185,2026-09-03T12:33:01.204597+00:00
0.250648,172516017,0.0232,-0.0349,1.0185,2026-09-03T12:33:01.208979+00:00
0.255009,172520378,0.0251,-0.0344,1.0180,2026-09-03T12:33:01.213253+00:00
0.259292,172524661,0.0242,-0.0344,1.0177,2026-09-03T12:33:01.217533+00:00
0.263575,172528944,0.0246,-0.0344,1.0167,2026-09-03T12:33:01.221913+00:00
0.267853,172533222,0.0242,-0.0346,1.0167,2026-09-03T12:33:01.226103+00:00
0.272144,172537513,0.0249,-0.0351,1.0167,2026-09-03T12:33:01.230511+00:00
0.276544,172541913,0.0256,-0.0351,1.0170,2026-09-03T12:33:01.234866+00:00
0.280849,172546218,0.0254,-0.0356,1.0160,2026-09-03T12:33:01.239159+00:00
0.285164,172550533,0.0244,-0.0354,1.0182,2026-09-03T12:33:01.243517+00:00
0.289489,172554858,0.0239,-0.0361,1.0189,2026-09-03T12:33:01.247877+00:00
0.293807,172559176,0.0249,-0.0359,1.0172,2026-09-03T12:33:01.252122+00:00
0.298104,172563473,0.0261,-0.0342,1.0160,2026-09-03T12:33:01.256445+00:00
0.302336,172567705,0.0246,-0.0356,1.0165,2026-09-03T12:33:01.264572+00:00
0.306567,172571936,0.0259,-0.0346,1.0163,2026-09-03T12:33:01.265547+00:00
0.310859,172576228,0.0232,-0.0342,1.0172,2026-09-03T12:33:01.269831+00:00
0.315173,172580542,0.0249,-0.0342,1.0180,2026-09-03T12:33:01.273791+00:00
0.319526,172584895,0.0249,-0.0342,1.0175,2026-09-03T12:33:01.278197+00:00
0.323992,172589361,0.0242,-0.0337,1.0199,2026-09-03T12:33:01.283086+00:00
0.328227,172593596,0.0227,-0.0334,1.0175,2026-09-03T12:33:01.287653+00:00
0.332471,172597840,0.0239,-0.0327,1.0165,2026-09-03T12:33:01.291292+00:00
0.336940,172602309,0.0246,-0.0346,1.0177,2026-09-03T12:33:01.295469+00:00
