# accel_live capture
# started_utc: 2026-09-07T13:54:06.595936+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,2076085562,-0.0239,-0.0273,1.0282,2026-09-07T13:54:16.731428+00:00
0.001022,2076086584,-0.0268,-0.0303,1.0321,2026-09-07T13:54:16.731951+00:00
0.002056,2076087618,-0.0234,-0.0273,1.0346,2026-09-07T13:54:16.731992+00:00
0.003078,2076088640,-0.0283,-0.0317,1.0307,2026-09-07T13:54:16.732008+00:00
0.004100,2076089662,-0.0239,-0.0283,1.0346,2026-09-07T13:54:16.732019+00:00
0.005122,2076090684,-0.0210,-0.0273,1.0336,2026-09-07T13:54:16.732028+00:00
0.006145,2076091707,-0.0249,-0.0337,1.0321,2026-09-07T13:54:16.732491+00:00
0.007167,2076092729,-0.0234,-0.0356,1.0355,2026-09-07T13:54:16.736100+00:00
0.008189,2076093751,-0.0229,-0.0386,1.0390,2026-09-07T13:54:16.738092+00:00
0.009238,2076094800,-0.0210,-0.0366,1.0321,2026-09-07T13:54:16.741308+00:00
0.010281,2076095843,-0.0190,-0.0312,1.0355,2026-09-07T13:54:16.742651+00:00
0.011302,2076096864,-0.0249,-0.0342,1.0390,2026-09-07T13:54:16.747942+00:00
0.012323,2076097885,-0.0239,-0.0361,1.0355,2026-09-07T13:54:16.747960+00:00
0.013345,2076098907,-0.0244,-0.0395,1.0370,2026-09-07T13:54:16.750519+00:00
0.014366,2076099928,-0.0220,-0.0376,1.0336,2026-09-07T13:54:16.753982+00:00
0.015387,2076100949,-0.0259,-0.0371,1.0341,2026-09-07T13:54:16.754713+00:00
0.016409,2076101971,-0.0215,-0.0346,1.0370,2026-09-07T13:54:16.757075+00:00
0.017430,2076102992,-0.0224,-0.0337,1.0375,2026-09-07T13:54:16.759531+00:00
0.018523,2076104085,-0.0176,-0.0239,1.0375,2026-09-07T13:54:16.762902+00:00
0.019545,2076105107,-0.0307,-0.0449,1.0219,2026-09-07T13:54:16.764338+00:00
0.020567,2076106129,-0.0132,-0.0351,1.0419,2026-09-07T13:54:16.767814+00:00
0.021588,2076107150,-0.0303,-0.0200,1.0204,2026-09-07T13:54:16.769313+00:00
0.022624,2076108186,-0.0332,-0.0361,1.0321,2026-09-07T13:54:16.772116+00:00
0.023646,2076109208,-0.0210,-0.0249,1.0468,2026-09-07T13:54:16.774814+00:00
0.024669,2076110231,-0.0293,-0.0332,1.0238,2026-09-07T13:54:16.776514+00:00
0.025694,2076111256,-0.0210,-0.0254,1.0253,2026-09-07T13:54:16.778934+00:00
0.026735,2076112297,-0.0273,-0.0322,1.0292,2026-09-07T13:54:16.781152+00:00
0.027775,2076113337,-0.0264,-0.0381,1.0092,2026-09-07T13:54:16.783608+00:00
0.028798,2076114360,-0.0346,-0.0229,1.0375,2026-09-07T13:54:16.786141+00:00
0.029820,2076115382,-0.0268,-0.0307,1.0297,2026-09-07T13:54:16.788594+00:00
0.030842,2076116404,-0.0268,-0.0190,1.0248,2026-09-07T13:54:16.791055+00:00
0.031875,2076117437,-0.0303,-0.0264,1.0219,2026-09-07T13:54:16.793404+00:00
0.032897,2076118459,-0.0224,-0.0317,1.0311,2026-09-07T13:54:16.795871+00:00
0.033919,2076119481,-0.0249,-0.0176,1.0194,2026-09-07T13:54:16.798246+00:00
0.034941,2076120503,-0.0244,-0.0312,1.0136,2026-09-07T13:54:16.800761+00:00
0.035963,2076121525,-0.0195,-0.0254,1.0228,2026-09-07T13:54:16.803007+00:00
0.036985,2076122547,-0.0249,-0.0195,1.0077,2026-09-07T13:54:16.805568+00:00
0.038007,2076123569,-0.0298,-0.0303,1.0121,2026-09-07T13:54:16.807877+00:00
0.039034,2076124596,-0.0273,-0.0205,1.0243,2026-09-07T13:54:16.810359+00:00
0.040057,2076125619,-0.0278,-0.0278,1.0092,2026-09-07T13:54:16.812885+00:00
0.041079,2076126641,-0.0303,-0.0171,1.0131,2026-09-07T13:54:16.818302+00:00
0.042128,2076127690,-0.0264,-0.0200,1.0131,2026-09-07T13:54:16.818312+00:00
0.043170,2076128732,-0.0273,-0.0249,1.0043,2026-09-07T13:54:16.820527+00:00
0.044197,2076129759,-0.0249,-0.0137,1.0092,2026-09-07T13:54:16.824774+00:00
0.045218,2076130780,-0.0215,-0.0132,1.0136,2026-09-07T13:54:16.826646+00:00
0.046239,2076131801,-0.0268,0.1200,1.0180,2026-09-07T13:54:16.827368+00:00
0.047261,2076132823,-0.0249,0.0049,1.0082,2026-09-07T13:54:16.829599+00:00
0.048282,2076133844,-0.0288,-0.0317,1.0063,2026-09-07T13:54:16.832303+00:00
0.049304,2076134866,-0.0298,-0.0332,1.0106,2026-09-07T13:54:16.834591+00:00
0.050325,2076135887,-0.0307,-0.0376,0.9589,2026-09-07T13:54:16.837142+00:00
0.051418,2076136980,-0.0229,-0.0493,0.9882,2026-09-07T13:54:16.839860+00:00
0.052441,2076138003,-0.0273,-0.0259,0.9970,2026-09-07T13:54:16.842869+00:00
0.053462,2076139024,-0.0332,-0.0224,0.9955,2026-09-07T13:54:16.844410+00:00
0.054486,2076140048,-0.0327,-0.0073,1.0497,2026-09-07T13:54:16.850026+00:00
0.055522,2076141084,-0.0317,-0.0093,1.0350,2026-09-07T13:54:16.850034+00:00
0.056544,2076142106,-0.0307,-0.0083,1.0048,2026-09-07T13:54:16.851477+00:00
0.057566,2076143128,-0.0293,-0.0146,1.0116,2026-09-07T13:54:16.854031+00:00
0.058592,2076144154,-0.0293,-0.0093,0.9970,2026-09-07T13:54:16.859018+00:00
0.059614,2076145176,-0.0307,0.0024,0.9941,2026-09-07T13:54:16.859028+00:00
0.060672,2076146234,-0.0283,-0.0117,1.0272,2026-09-07T13:54:16.861145+00:00
0.061695,2076147257,-0.0239,-0.0185,1.0253,2026-09-07T13:54:16.863647+00:00
0.062717,2076148279,-0.0273,-0.0220,1.0126,2026-09-07T13:54:16.866065+00:00
0.063739,2076149301,-0.0259,-0.0322,1.0111,2026-09-07T13:54:16.868626+00:00
0.064768,2076150330,-0.0249,-0.0259,1.0063,2026-09-07T13:54:16.871047+00:00
0.065790,2076151352,-0.0259,-0.0215,0.9921,2026-09-07T13:54:16.873573+00:00
0.066812,2076152374,-0.0190,-0.0317,1.0072,2026-09-07T13:54:16.876002+00:00
0.067840,2076153402,-0.0288,-0.0288,1.0238,2026-09-07T13:54:16.878456+00:00
0.068862,2076154424,-0.0303,-0.0317,1.0097,2026-09-07T13:54:16.880865+00:00
0.069884,2076155446,-0.0298,-0.0317,1.0204,2026-09-07T13:54:16.883203+00:00
0.070906,2076156468,-0.0312,-0.0307,1.0170,2026-09-07T13:54:16.885697+00:00
0.071928,2076157490,-0.0332,-0.0259,0.9945,2026-09-07T13:54:16.888204+00:00
0.072950,2076158512,-0.0332,-0.0307,1.0126,2026-09-07T13:54:16.890691+00:00
0.073972,2076159534,-0.0249,-0.0307,1.0219,2026-09-07T13:54:16.893042+00:00
0.074994,2076160556,-0.0337,-0.0176,1.0189,2026-09-07T13:54:16.895539+00:00
0.076044,2076161606,-0.0264,-0.0254,1.0302,2026-09-07T13:54:16.897877+00:00
0.077076,2076162638,-0.0249,-0.0283,1.0302,2026-09-07T13:54:16.900342+00:00
0.078103,2076163665,-0.0273,-0.0307,1.0146,2026-09-07T13:54:16.902701+00:00
0.079124,2076164686,-0.0234,-0.0337,1.0224,2026-09-07T13:54:16.905168+00:00
0.080146,2076165708,-0.0205,-0.0342,1.0258,2026-09-07T13:54:16.907689+00:00
0.081167,2076166729,-0.0288,-0.0327,1.0233,2026-09-07T13:54:16.910059+00:00
0.082188,2076167750,-0.0259,-0.0317,1.0336,2026-09-07T13:54:16.912601+00:00
0.083210,2076168772,-0.0205,-0.0322,1.0282,2026-09-07T13:54:16.915015+00:00
0.084231,2076169793,-0.0181,-0.0278,1.0209,2026-09-07T13:54:16.917514+00:00
0.085321,2076170883,-0.0215,-0.0317,1.0214,2026-09-07T13:54:16.920032+00:00
0.086342,2076171904,-0.0215,-0.0307,1.0307,2026-09-07T13:54:16.922479+00:00
0.087364,2076172926,-0.0249,-0.0244,1.0214,2026-09-07T13:54:16.924840+00:00
0.088388,2076173950,-0.0215,-0.0307,1.0380,2026-09-07T13:54:16.927245+00:00
0.089418,2076174980,-0.0215,-0.0322,1.0424,2026-09-07T13:54:16.929615+00:00
0.090440,2076176002,-0.0229,-0.0288,1.0243,2026-09-07T13:54:16.931925+00:00
0.091463,2076177025,-0.0234,-0.0307,1.0277,2026-09-07T13:54:16.934368+00:00
0.092491,2076178053,-0.0229,-0.0298,1.0238,2026-09-07T13:54:16.936853+00:00
0.093514,2076179076,-0.0298,-0.0312,1.0219,2026-09-07T13:54:16.939258+00:00
