# AccelStream v4 capture
# written_utc: 2026-09-09T16:59:58.121693+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 265010803
# on_t_s: -8.613046
# set_t_us: 276504200
# set_t_s: 2.880351
# go_t_us: 279273166
# go_t_s: 5.649317
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,273623849,-0.0283,-0.0390,1.0063
0.001182,273625031,-0.0303,-0.0376,1.0097
0.002322,273626171,-0.0312,-0.0381,1.0087
0.003468,273627317,-0.0312,-0.0395,1.0067
0.004608,273628457,-0.0307,-0.0376,1.0038
0.005766,273629615,-0.0307,-0.0356,1.0043
0.006924,273630773,-0.0298,-0.0386,1.0072
0.008107,273631956,-0.0298,-0.0390,1.0028
0.009251,273633100,-0.0298,-0.0390,1.0063
0.010391,273634240,-0.0298,-0.0410,1.0087
0.011530,273635379,-0.0303,-0.0395,1.0053
0.012722,273636571,-0.0303,-0.0386,1.0072
0.013863,273637712,-0.0293,-0.0381,1.0092
0.015023,273638872,-0.0293,-0.0376,1.0102
0.016163,273640012,-0.0312,-0.0376,1.0067
0.017322,273641171,-0.0327,-0.0386,1.0067
0.018486,273642335,-0.0293,-0.0395,1.0106
0.019629,273643478,-0.0283,-0.0386,1.0102
0.020785,273644634,-0.0288,-0.0390,1.0067
0.021912,273645761,-0.0273,-0.0390,1.0058
0.023094,273646943,-0.0283,-0.0386,1.0063
0.024234,273648083,-0.0288,-0.0405,1.0072
0.025380,273649229,-0.0298,-0.0400,1.0077
0.026561,273650410,-0.0303,-0.0395,1.0063
0.027701,273651550,-0.0298,-0.0395,1.0043
0.028861,273652710,-0.0293,-0.0376,1.0024
0.030001,273653850,-0.0268,-0.0361,1.0019
0.031153,273655002,-0.0278,-0.0361,1.0019
0.032334,273656183,-0.0293,-0.0381,1.0058
0.033475,273657324,-0.0293,-0.0405,1.0097
0.034642,273658491,-0.0298,-0.0410,1.0082
0.035783,273659632,-0.0278,-0.0371,1.0077
0.036940,273660789,-0.0273,-0.0366,1.0082
0.038080,273661929,-0.0303,-0.0390,1.0067
0.039221,273663070,-0.0293,-0.0381,1.0043
0.040403,273664252,-0.0312,-0.0386,1.0043
0.041543,273665392,-0.0303,-0.0376,1.0072
0.042699,273666548,-0.0264,-0.0371,1.0077
0.043866,273667715,-0.0264,-0.0386,1.0053
0.045015,273668864,-0.0268,-0.0376,1.0043
0.046155,273670004,-0.0273,-0.0410,1.0087
