# AccelStream v4 capture
# written_utc: 2026-09-09T10:25:43.369588+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 360397884
# on_t_s: -9.674168
# set_t_us: 372961554
# set_t_s: 2.889502
# go_t_us: 375615417
# go_t_s: 5.543365
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,370072052,-0.1103,-0.0112,1.0033
0.001140,370073192,-0.1093,-0.0078,1.0038
0.002321,370074373,-0.1142,-0.0078,1.0063
0.003462,370075514,-0.1118,-0.0078,1.0038
0.004646,370076698,-0.1083,-0.0068,1.0038
0.005779,370077831,-0.1103,-0.0078,1.0067
0.006960,370079012,-0.1127,-0.0073,1.0043
0.008106,370080158,-0.1118,-0.0068,1.0048
0.009247,370081299,-0.1088,-0.0112,1.0038
0.010413,370082465,-0.1098,-0.0142,1.0024
0.011554,370083606,-0.1118,-0.0112,1.0048
0.012711,370084763,-0.1108,-0.0112,1.0072
0.013895,370085947,-0.1098,-0.0112,1.0063
0.015035,370087087,-0.1108,-0.0112,1.0014
0.016189,370088241,-0.1098,-0.0107,1.0024
0.017355,370089407,-0.1118,-0.0102,1.0014
0.018495,370090547,-0.1147,-0.0132,1.0038
0.019653,370091705,-0.1132,-0.0142,1.0072
0.020835,370092887,-0.1137,-0.0127,1.0048
0.021975,370094027,-0.1137,-0.0112,1.0058
0.023143,370095195,-0.1127,-0.0132,1.0053
0.024310,370096362,-0.1118,-0.0122,1.0043
0.025468,370097520,-0.1118,-0.0093,1.0033
0.026626,370098678,-0.1132,-0.0112,1.0004
0.027766,370099818,-0.1108,-0.0102,1.0009
0.028919,370100971,-0.1083,-0.0078,1.0014
0.030059,370102111,-0.1074,-0.0068,1.0024
0.031266,370103318,-0.1103,-0.0078,1.0043
0.032382,370104434,-0.1127,-0.0093,1.0028
0.033538,370105590,-0.1098,-0.0093,1.0024
0.034712,370106764,-0.1093,-0.0112,1.0048
0.035852,370107904,-0.1113,-0.0117,1.0063
0.037034,370109086,-0.1108,-0.0122,1.0063
0.038173,370110225,-0.1088,-0.0098,1.0087
0.039325,370111377,-0.1088,-0.0088,1.0082
0.040465,370112517,-0.1098,-0.0122,1.0063
0.041623,370113675,-0.1118,-0.0117,1.0043
0.042805,370114857,-0.1103,-0.0098,1.0038
0.043945,370115997,-0.1074,-0.0112,1.0063
0.045105,370117157,-0.1103,-0.0137,1.0043
0.046271,370118323,-0.1122,-0.0117,1.0043
0.047412,370119464,-0.1103,-0.0098,1.0058
0.048572,370120624,-0.1103,-0.0107,1.0024
0.049712,370121764,-0.1122,-0.0107,1.0009
0.050894,370122946,-0.1122,-0.0117,1.0009
0.052044,370124096,-0.1108,-0.0112,1.0019
0.053211,370125263,-0.1074,-0.0122,1.0024
0.054366,370126418,-0.1069,-0.0122,0.9994
0.055535,370127587,-0.1093,-0.0102,1.0019
0.056675,370128727,-0.1122,-0.0093,1.0033
0.057815,370129867,-0.1103,-0.0093,1.0033
0.058997,370131049,-0.1113,-0.0073,1.0067
0.060162,370132214,-0.1122,-0.0083,1.0058
0.061278,370133330,-0.1098,-0.0112,1.0028
0.062478,370134530,-0.1108,-0.0107,0.9999
0.063619,370135671,-0.1103,-0.0088,1.0004
0.064767,370136819,-0.1108,-0.0088,1.0019
0.065906,370137958,-0.1127,-0.0107,1.0033
0.067045,370139097,-0.1147,-0.0098,1.0038
0.068211,370140263,-0.1127,-0.0102,1.0038
0.069394,370141446,-0.1064,-0.0127,1.0043
0.070537,370142589,-0.1069,-0.0117,1.0067
0.071677,370143729,-0.1098,-0.0107,1.0082
0.072859,370144911,-0.1118,-0.0117,1.0053
0.074000,370146052,-0.1132,-0.0117,1.0009
0.075168,370147220,-0.1127,-0.0146,1.0019
0.076309,370148361,-0.1122,-0.0117,1.0038
0.077467,370149519,-0.1098,-0.0073,1.0053
0.078623,370150675,-0.1088,-0.0078,1.0072
0.079805,370151857,-0.1103,-0.0083,1.0058
0.080959,370153011,-0.1103,-0.0098,1.0067
0.082085,370154137,-0.1093,-0.0107,1.0043
0.083242,370155294,-0.1118,-0.0102,1.0009
0.084399,370156451,-0.1118,-0.0093,1.0024
0.085581,370157633,-0.1088,-0.0078,1.0028
