# AccelStream v4 capture
# written_utc: 2026-09-09T11:31:19.076289+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 4282646103
# on_t_s: -8.579636
# set_t_us: 4294112776
# set_t_s: 2.887037
# go_t_us: 1598118
# go_t_s: -4289.627621
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,4291225739,-0.1093,-0.0024,1.0024
0.001114,4291226853,-0.1103,-0.0029,1.0014
0.002268,4291228007,-0.1088,-0.0039,0.9999
0.003408,4291229147,-0.1108,-0.0010,1.0014
0.004589,4291230328,-0.1113,-0.0005,1.0053
0.005747,4291231486,-0.1088,-0.0029,1.0067
0.006903,4291232642,-0.1074,-0.0044,1.0048
0.008033,4291233772,-0.1083,-0.0029,1.0087
0.009215,4291234954,-0.1098,-0.0010,1.0087
0.010355,4291236094,-0.1103,-0.0015,1.0043
0.011505,4291237244,-0.1098,-0.0029,1.0038
0.012645,4291238384,-0.1078,0.0000,1.0048
0.013808,4291239547,-0.1083,-0.0010,1.0058
0.014992,4291240731,-0.1078,-0.0029,1.0048
0.016134,4291241873,-0.1069,-0.0005,1.0053
0.017280,4291243019,-0.1049,-0.0005,1.0067
0.018420,4291244159,-0.1064,-0.0034,1.0072
0.019613,4291245352,-0.1108,-0.0015,1.0077
0.020738,4291246477,-0.1108,0.0005,1.0048
0.021922,4291247661,-0.1098,-0.0049,1.0048
0.023069,4291248808,-0.1078,-0.0068,1.0028
0.024209,4291249948,-0.1078,-0.0029,1.0004
0.025391,4291251130,-0.1093,-0.0005,1.0024
0.026530,4291252269,-0.1078,-0.0044,1.0043
0.027682,4291253421,-0.1088,-0.0073,1.0038
0.028838,4291254577,-0.1088,-0.0059,1.0033
0.029987,4291255726,-0.1093,-0.0049,1.0038
0.031169,4291256908,-0.1093,-0.0034,1.0009
0.032309,4291258048,-0.1088,-0.0034,1.0009
0.033449,4291259188,-0.1093,-0.0034,1.0024
0.034630,4291260369,-0.1103,-0.0024,1.0028
0.035787,4291261526,-0.1098,-0.0039,1.0048
0.036917,4291262656,-0.1078,-0.0039,1.0048
0.038099,4291263838,-0.1093,-0.0005,1.0038
0.039239,4291264978,-0.1074,0.0000,1.0063
0.040382,4291266121,-0.1035,-0.0005,1.0063
0.041563,4291267302,-0.1064,-0.0015,1.0024
0.042716,4291268455,-0.1083,-0.0049,1.0028
0.043875,4291269614,-0.1098,-0.0034,1.0038
0.045015,4291270754,-0.1113,-0.0024,1.0009
0.046155,4291271894,-0.1074,-0.0054,0.9984
0.047336,4291273075,-0.1054,-0.0049,1.0004
0.048476,4291274215,-0.1064,-0.0034,1.0038
0.049643,4291275382,-0.1088,-0.0029,1.0038
0.050827,4291276566,-0.1113,-0.0054,1.0019
0.051969,4291277708,-0.1108,-0.0083,1.0009
0.053109,4291278848,-0.1078,-0.0068,1.0019
0.054249,4291279988,-0.1074,-0.0044,1.0038
0.055431,4291281170,-0.1098,-0.0044,1.0067
0.056571,4291282310,-0.1088,-0.0078,1.0053
0.057728,4291283467,-0.1069,-0.0059,1.0038
0.058880,4291284619,-0.1093,-0.0015,1.0033
0.060062,4291285801,-0.1103,-0.0034,1.0014
0.061203,4291286942,-0.1088,-0.0044,1.0053
0.062342,4291288081,-0.1064,-0.0020,1.0063
0.063524,4291289263,-0.1059,0.0010,1.0024
0.064681,4291290420,-0.1088,-0.0010,1.0014
0.065833,4291291572,-0.1083,-0.0029,1.0043
0.066973,4291292712,-0.1083,-0.0015,1.0072
0.068113,4291293852,-0.1098,-0.0005,1.0072
0.069300,4291295039,-0.1078,0.0000,1.0048
0.070440,4291296179,-0.1083,0.0015,1.0024
0.071592,4291297331,-0.1118,0.0024,1.0024
0.072753,4291298492,-0.1118,-0.0010,1.0014
0.073896,4291299635,-0.1103,-0.0044,0.9989
0.075078,4291300817,-0.1108,-0.0044,1.0004
0.076218,4291301957,-0.1088,-0.0034,1.0028
0.077357,4291303096,-0.1069,-0.0015,1.0038
0.078535,4291304274,-0.1093,-0.0029,1.0038
0.079718,4291305457,-0.1108,-0.0054,1.0014
0.080860,4291306599,-0.1088,-0.0054,1.0014
0.082001,4291307740,-0.1088,-0.0034,1.0024
0.083140,4291308879,-0.1103,-0.0015,1.0019
0.084321,4291310060,-0.1093,-0.0029,1.0024
0.085472,4291311211,-0.1059,-0.0029,1.0028
0.086655,4291312394,-0.1069,-0.0044,1.0033
0.087770,4291313509,-0.1093,-0.0020,1.0033
0.088923,4291314662,-0.1093,-0.0005,1.0058
0.090077,4291315816,-0.1098,-0.0024,1.0048
0.091259,4291316998,-0.1093,-0.0015,1.0033
0.092374,4291318113,-0.1069,-0.0029,1.0067
0.093584,4291319323,-0.1074,-0.0024,1.0067
0.094685,4291320424,-0.1083,-0.0005,1.0028
0.095867,4291321606,-0.1069,-0.0015,1.0028
0.097007,4291322746,-0.1069,-0.0054,1.0028
0.098159,4291323898,-0.1069,-0.0068,1.0028
0.099340,4291325079,-0.1083,-0.0063,0.9999
0.100491,4291326230,-0.1083,-0.0044,0.9989
0.101652,4291327391,-0.1069,-0.0054,1.0033
0.102792,4291328531,-0.1078,-0.0083,1.0033
0.103935,4291329674,-0.1083,-0.0059,1.0019
0.105117,4291330856,-0.1083,-0.0034,1.0014
0.106257,4291331996,-0.1074,-0.0039,1.0028
0.107424,4291333163,-0.1093,-0.0005,1.0024
0.108608,4291334347,-0.1108,-0.0010,0.9999
0.109707,4291335446,-0.1093,-0.0020,1.0009
0.110889,4291336628,-0.1074,-0.0054,1.0063
0.112029,4291337768,-0.1069,-0.0063,1.0072
0.113184,4291338923,-0.1078,-0.0020,1.0038
0.114328,4291340067,-0.1093,-0.0024,1.0033
0.115484,4291341223,-0.1083,-0.0020,1.0033
0.116678,4291342417,-0.1074,-0.0010,1.0028
0.117819,4291343558,-0.1078,0.0010,1.0038
0.118959,4291344698,-0.1098,-0.0010,1.0038
0.120140,4291345879,-0.1098,-0.0034,1.0019
0.121298,4291347037,-0.1064,-0.0029,1.0019
0.122455,4291348194,-0.1069,-0.0034,1.0004
0.123607,4291349346,-0.1093,-0.0049,1.0033
0.124751,4291350490,-0.1098,-0.0059,1.0072
0.125891,4291351630,-0.1078,-0.0054,1.0028
0.127043,4291352782,-0.1078,-0.0034,1.0009
0.128225,4291353964,-0.1103,-0.0024,1.0038
0.129364,4291355103,-0.1098,-0.0039,1.0033
0.130524,4291356263,-0.1078,-0.0024,1.0043
0.131665,4291357404,-0.1078,0.0024,1.0087
0.132846,4291358585,-0.1093,0.0005,1.0058
0.133988,4291359727,-0.1098,-0.0005,1.0019
0.135128,4291360867,-0.1098,0.0010,1.0019
0.136295,4291362034,-0.1088,0.0000,1.0004
0.137479,4291363218,-0.1069,0.0020,1.0019
0.138623,4291364362,-0.1103,0.0024,1.0028
0.139763,4291365502,-0.1108,-0.0029,1.0043
0.140903,4291366642,-0.1088,-0.0029,1.0067
0.142095,4291367834,-0.1093,-0.0029,1.0058
0.143221,4291368960,-0.1074,-0.0044,1.0014
0.144378,4291370117,-0.1078,-0.0010,0.9999
0.145550,4291371289,-0.1078,-0.0010,1.0019
0.146690,4291372429,-0.1093,-0.0020,1.0004
0.147872,4291373611,-0.1088,-0.0020,1.0024
0.149013,4291374752,-0.1078,-0.0034,1.0014
0.150171,4291375910,-0.1069,-0.0034,0.9999
0.151327,4291377066,-0.1044,-0.0010,1.0014
0.152480,4291378219,-0.1054,-0.0020,1.0014
0.153620,4291379359,-0.1064,-0.0034,1.0019
0.154802,4291380541,-0.1059,-0.0034,1.0014
0.155942,4291381681,-0.1078,-0.0039,1.0033
0.157081,4291382820,-0.1078,-0.0015,1.0043
0.158237,4291383976,-0.1074,-0.0034,1.0028
0.159395,4291385134,-0.1088,-0.0088,1.0019
0.160577,4291386316,-0.1098,-0.0073,1.0019
0.161717,4291387456,-0.1108,-0.0049,1.0009
0.162899,4291388638,-0.1083,-0.0039,1.0043
0.164039,4291389778,-0.1069,-0.0024,1.0043
0.165199,4291390938,-0.1093,-0.0054,1.0038
0.166359,4291392098,-0.1098,-0.0049,1.0063
0.167499,4291393238,-0.1093,-0.0029,1.0043
0.168639,4291394378,-0.1108,-0.0039,1.0063
0.169821,4291395560,-0.1088,-0.0020,1.0072
0.170960,4291396699,-0.1074,-0.0020,1.0038
0.172137,4291397876,-0.1103,-0.0044,1.0038
0.173320,4291399059,-0.1093,-0.0049,1.0028
0.174420,4291400159,-0.1064,-0.0034,1.0024
0.175574,4291401313,-0.1074,-0.0024,1.0048
0.176727,4291402466,-0.1069,-0.0015,1.0053
