# AccelStream v4 capture
# written_utc: 2026-09-14T16:43:48.155111+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 299595776
# on_t_s: -21.321966
# set_t_us: 323807891
# set_t_s: 2.890149
# go_t_us: 325921566
# go_t_s: 5.003824
# arm_t_us: 324834222
# arm_t_s: 3.916480
# arm_peak_mg: 10.65
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: FALSE START
# board_reaction_ms: 49.841
# board_onset_t_us: 325971407
t_s,t_us,x_g,y_g,z_g
0.000000,320917742,-0.0220,-0.0054,1.0087
0.001181,320918923,-0.0195,-0.0039,1.0092
0.002330,320920072,-0.0220,-0.0059,1.0092
0.003482,320921224,-0.0254,-0.0054,1.0097
0.004620,320922362,-0.0249,-0.0044,1.0087
0.005785,320923527,-0.0254,-0.0083,1.0063
0.006984,320924726,-0.0234,-0.0093,1.0082
0.008123,320925865,-0.0234,-0.0073,1.0082
0.009261,320927003,-0.0254,-0.0054,1.0072
0.010440,320928182,-0.0234,-0.0054,1.0082
0.011578,320929320,-0.0259,-0.0059,1.0077
0.012743,320930485,-0.0259,-0.0054,1.0082
0.013874,320931616,-0.0249,-0.0083,1.0131
0.015069,320932811,-0.0224,-0.0083,1.0160
0.016207,320933949,-0.0210,-0.0059,1.0116
0.017345,320935087,-0.0210,-0.0044,1.0087
0.018524,320936266,-0.0215,-0.0029,1.0106
0.019664,320937406,-0.0229,-0.0049,1.0097
0.020819,320938561,-0.0239,-0.0083,1.0072
0.021970,320939712,-0.0229,-0.0107,1.0058
0.023149,320940891,-0.0224,-0.0068,1.0058
0.024287,320942029,-0.0259,-0.0054,1.0058
0.025468,320943210,-0.0264,-0.0068,1.0058
0.026618,320944360,-0.0244,-0.0054,1.0058
0.027773,320945515,-0.0244,-0.0059,1.0067
0.028939,320946681,-0.0244,-0.0054,1.0082
0.030077,320947819,-0.0249,-0.0034,1.0082
0.031256,320948998,-0.0220,-0.0068,1.0087
0.032394,320950136,-0.0200,-0.0093,1.0082
0.033550,320951292,-0.0239,-0.0088,1.0067
0.034725,320952467,-0.0244,-0.0088,1.0072
0.035848,320953590,-0.0239,-0.0049,1.0097
0.037029,320954771,-0.0229,-0.0054,1.0102
0.038168,320955910,-0.0229,-0.0098,1.0087
0.039358,320957100,-0.0224,-0.0088,1.0116
0.040515,320958257,-0.0229,-0.0049,1.0126
0.041634,320959376,-0.0234,-0.0044,1.0111
0.042832,320960574,-0.0224,-0.0063,1.0116
0.043972,320961714,-0.0234,-0.0049,1.0102
0.045110,320962852,-0.0220,-0.0029,1.0092
0.046291,320964033,-0.0210,-0.0044,1.0092
0.047430,320965172,-0.0229,-0.0054,1.0116
0.048570,320966312,-0.0249,-0.0078,1.0121
0.049791,320967533,-0.0234,-0.0049,1.0097
0.050891,320968633,-0.0244,-0.0029,1.0097
0.052070,320969812,-0.0239,-0.0039,1.0116
0.053208,320970950,-0.0220,-0.0044,1.0126
0.054389,320972131,-0.0234,-0.0068,1.0082
0.055513,320973255,-0.0210,-0.0063,1.0048
0.056668,320974410,-0.0200,-0.0063,1.0067
0.057861,320975603,-0.0210,-0.0044,1.0092
0.058999,320976741,-0.0229,-0.0015,1.0106
0.060137,320977879,-0.0259,-0.0044,1.0111
0.061316,320979058,-0.0249,-0.0073,1.0097
0.062463,320980205,-0.0249,-0.0083,1.0067
0.063618,320981360,-0.0249,-0.0063,1.0087
0.064784,320982526,-0.0234,-0.0054,1.0111
0.065922,320983664,-0.0239,-0.0059,1.0106
0.067101,320984843,-0.0264,-0.0044,1.0106
0.068239,320985981,-0.0244,-0.0063,1.0106
0.069395,320987137,-0.0215,-0.0068,1.0116
0.070556,320988298,-0.0224,-0.0049,1.0102
0.071722,320989464,-0.0210,-0.0010,1.0072
0.072901,320990643,-0.0205,-0.0015,1.0082
0.074040,320991782,-0.0210,-0.0024,1.0087
