# AccelStream v4 capture
# written_utc: 2026-09-14T16:59:40.362682+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 1249813440
# on_t_s: -19.118211
# set_t_us: 1271827338
# set_t_s: 2.895687
# go_t_us: 1274341891
# go_t_s: 5.410240
# arm_t_us: 1272904569
# arm_t_s: 3.972918
# arm_peak_mg: 13.2
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: FALSE START
# board_reaction_ms: -324.424
# board_onset_t_us: 1274017467
t_s,t_us,x_g,y_g,z_g
0.000000,1268931651,-0.0200,-0.0068,1.0063
0.001189,1268932840,-0.0210,-0.0068,1.0063
0.002331,1268933982,-0.0244,-0.0054,1.0082
0.003510,1268935161,-0.0249,-0.0029,1.0106
0.004666,1268936317,-0.0220,-0.0034,1.0097
0.005820,1268937471,-0.0205,-0.0039,1.0063
0.006974,1268938625,-0.0210,-0.0024,1.0019
0.008112,1268939763,-0.0220,0.0000,1.0024
0.009291,1268940942,-0.0224,-0.0024,1.0067
0.010435,1268942086,-0.0224,-0.0049,1.0106
0.011615,1268943266,-0.0229,-0.0034,1.0111
0.012764,1268944415,-0.0229,-0.0049,1.0082
0.013920,1268945571,-0.0239,-0.0078,1.0092
0.015059,1268946710,-0.0239,-0.0073,1.0077
0.016238,1268947889,-0.0210,-0.0044,1.0072
0.017378,1268949029,-0.0195,-0.0044,1.0067
0.018558,1268950209,-0.0190,-0.0054,1.0043
0.019707,1268951358,-0.0176,-0.0044,1.0058
0.020889,1268952540,-0.0190,-0.0059,1.0063
0.022029,1268953680,-0.0215,-0.0073,1.0077
0.023168,1268954819,-0.0220,-0.0083,1.0111
0.024347,1268955998,-0.0195,-0.0083,1.0102
0.025487,1268957138,-0.0190,-0.0073,1.0072
0.026676,1268958327,-0.0244,-0.0063,1.0077
0.027859,1268959510,-0.0239,-0.0034,1.0097
0.028956,1268960607,-0.0181,-0.0059,1.0077
0.030137,1268961788,-0.0171,-0.0059,1.0077
0.031275,1268962926,-0.0205,-0.0044,1.0121
0.032438,1268964089,-0.0239,-0.0054,1.0126
0.033592,1268965243,-0.0215,-0.0054,1.0102
0.034746,1268966397,-0.0185,-0.0059,1.0077
0.035912,1268967563,-0.0205,-0.0059,1.0087
0.037059,1268968710,-0.0224,-0.0039,1.0102
0.038238,1268969889,-0.0244,-0.0039,1.0087
0.039377,1268971028,-0.0268,-0.0054,1.0087
0.040557,1268972208,-0.0259,-0.0063,1.0102
0.041712,1268973363,-0.0220,-0.0083,1.0116
0.042879,1268974530,-0.0210,-0.0068,1.0116
0.044025,1268975676,-0.0234,-0.0039,1.0116
0.045163,1268976814,-0.0268,-0.0039,1.0097
0.046344,1268977995,-0.0239,-0.0039,1.0121
0.047482,1268979133,-0.0210,-0.0034,1.0116
0.048637,1268980288,-0.0220,-0.0039,1.0067
0.049794,1268981445,-0.0210,-0.0059,1.0048
0.050974,1268982625,-0.0220,-0.0059,1.0067
0.052114,1268983765,-0.0229,-0.0039,1.0077
0.053267,1268984918,-0.0229,-0.0044,1.0072
0.054447,1268986098,-0.0234,-0.0063,1.0077
0.055605,1268987256,-0.0234,-0.0044,1.0058
0.056764,1268988415,-0.0249,-0.0020,1.0067
0.057903,1268989554,-0.0220,-0.0044,1.0087
0.059082,1268990733,-0.0190,-0.0073,1.0067
0.060220,1268991871,-0.0229,-0.0063,1.0063
0.061376,1268993027,-0.0239,-0.0049,1.0067
0.062550,1268994201,-0.0215,-0.0054,1.0043
0.063732,1268995383,-0.0215,-0.0054,1.0063
0.064878,1268996529,-0.0210,-0.0039,1.0092
0.066016,1268997667,-0.0215,-0.0044,1.0082
0.067197,1268998848,-0.0234,-0.0039,1.0102
0.068348,1268999999,-0.0234,-0.0059,1.0141
0.069487,1269001138,-0.0249,-0.0078,1.0136
0.070641,1269002292,-0.0244,-0.0078,1.0121
0.071833,1269003484,-0.0224,-0.0068,1.0097
0.072971,1269004622,-0.0210,-0.0039,1.0097
0.074150,1269005801,-0.0229,-0.0034,1.0102
0.075273,1269006924,-0.0249,-0.0054,1.0077
0.076453,1269008104,-0.0229,-0.0073,1.0067
0.077608,1269009259,-0.0229,-0.0059,1.0063
0.078774,1269010425,-0.0229,-0.0029,1.0072
0.079912,1269011563,-0.0220,-0.0059,1.0063
0.081091,1269012742,-0.0234,-0.0083,1.0092
0.082229,1269013880,-0.0220,-0.0044,1.0106
0.083409,1269015060,-0.0229,-0.0049,1.0072
0.084546,1269016197,-0.0254,-0.0102,1.0072
0.085703,1269017354,-0.0244,-0.0098,1.0077
0.086883,1269018534,-0.0249,-0.0088,1.0082
0.088021,1269019672,-0.0234,-0.0083,1.0072
0.089200,1269020851,-0.0215,-0.0059,1.0072
0.090340,1269021991,-0.0215,-0.0059,1.0092
0.091505,1269023156,-0.0215,-0.0044,1.0097
0.092661,1269024312,-0.0210,-0.0024,1.0082
0.093841,1269025492,-0.0215,-0.0020,1.0072
0.094979,1269026630,-0.0224,-0.0034,1.0106
0.096158,1269027809,-0.0215,-0.0044,1.0146
0.097297,1269028948,-0.0210,-0.0054,1.0126
0.098462,1269030113,-0.0205,-0.0063,1.0111
0.099644,1269031295,-0.0200,-0.0068,1.0111
0.100785,1269032436,-0.0229,-0.0073,1.0102
0.101923,1269033574,-0.0224,-0.0063,1.0097
0.103109,1269034760,-0.0215,-0.0068,1.0106
0.104263,1269035914,-0.0229,-0.0068,1.0126
0.105397,1269037048,-0.0229,-0.0054,1.0131
0.106552,1269038203,-0.0239,-0.0024,1.0092
0.107744,1269039395,-0.0229,-0.0039,1.0058
0.108882,1269040533,-0.0220,-0.0039,1.0106
0.110061,1269041712,-0.0224,-0.0054,1.0126
0.111201,1269042852,-0.0234,-0.0068,1.0097
0.112358,1269044009,-0.0239,-0.0068,1.0092
0.113580,1269045231,-0.0229,-0.0073,1.0092
0.114660,1269046311,-0.0210,-0.0054,1.0082
0.115840,1269047491,-0.0215,-0.0063,1.0092
0.116978,1269048629,-0.0229,-0.0068,1.0106
0.118158,1269049809,-0.0229,-0.0049,1.0072
0.119296,1269050947,-0.0239,-0.0059,1.0058
0.120505,1269052156,-0.0215,-0.0073,1.0072
0.121631,1269053282,-0.0210,-0.0073,1.0087
0.122811,1269054462,-0.0239,-0.0068,1.0097
0.123949,1269055600,-0.0239,-0.0073,1.0082
0.125128,1269056779,-0.0254,-0.0068,1.0058
0.126267,1269057918,-0.0224,-0.0059,1.0063
0.127423,1269059074,-0.0210,-0.0063,1.0087
0.128605,1269060256,-0.0239,-0.0054,1.0087
0.129744,1269061395,-0.0264,-0.0020,1.0077
0.130923,1269062574,-0.0273,-0.0015,1.0038
0.132061,1269063712,-0.0229,-0.0010,1.0053
0.133241,1269064892,-0.0220,-0.0029,1.0067
0.134406,1269066057,-0.0249,-0.0054,1.0072
0.135588,1269067239,-0.0234,-0.0059,1.0106
0.136689,1269068340,-0.0205,-0.0063,1.0126
0.137870,1269069521,-0.0200,-0.0054,1.0131
0.139009,1269070660,-0.0220,-0.0059,1.0116
0.140172,1269071823,-0.0249,-0.0078,1.0092
0.141320,1269072971,-0.0249,-0.0093,1.0053
0.142516,1269074167,-0.0224,-0.0059,1.0053
0.143640,1269075291,-0.0220,-0.0024,1.0048
0.144819,1269076470,-0.0239,-0.0044,1.0067
0.145957,1269077608,-0.0229,-0.0029,1.0102
0.147136,1269078787,-0.0200,-0.0044,1.0111
0.148292,1269079943,-0.0220,-0.0083,1.0106
0.149488,1269081139,-0.0249,-0.0044,1.0058
0.150597,1269082248,-0.0244,-0.0024,1.0043
0.151777,1269083428,-0.0234,-0.0059,1.0082
0.152915,1269084566,-0.0234,-0.0063,1.0111
0.154107,1269085758,-0.0239,-0.0073,1.0106
0.155262,1269086913,-0.0229,-0.0044,1.0087
0.156428,1269088079,-0.0220,-0.0020,1.0082
0.157561,1269089212,-0.0254,-0.0024,1.0097
0.158741,1269090392,-0.0254,-0.0034,1.0082
0.159879,1269091530,-0.0210,-0.0059,1.0067
0.161064,1269092715,-0.0205,-0.0088,1.0077
0.162203,1269093854,-0.0215,-0.0093,1.0087
0.163364,1269095015,-0.0215,-0.0068,1.0092
0.164522,1269096173,-0.0205,-0.0078,1.0092
0.165701,1269097352,-0.0200,-0.0068,1.0082
0.166845,1269098496,-0.0215,-0.0059,1.0092
0.167983,1269099634,-0.0215,-0.0078,1.0097
0.169164,1269100815,-0.0229,-0.0044,1.0087
0.170329,1269101980,-0.0234,-0.0039,1.0102
0.171512,1269103163,-0.0220,-0.0063,1.0087
0.172651,1269104302,-0.0205,-0.0054,1.0102
0.173789,1269105440,-0.0220,-0.0049,1.0102
0.174968,1269106619,-0.0200,-0.0039,1.0102
0.176115,1269107766,-0.0215,-0.0029,1.0131
0.177254,1269108905,-0.0244,-0.0024,1.0121
0.178477,1269110128,-0.0220,-0.0029,1.0092
0.179579,1269111230,-0.0215,-0.0039,1.0077
0.180758,1269112409,-0.0224,-0.0049,1.0072
0.181896,1269113547,-0.0239,-0.0073,1.0092
0.183075,1269114726,-0.0234,-0.0068,1.0116
0.184231,1269115882,-0.0224,-0.0044,1.0106
0.185385,1269117036,-0.0229,-0.0054,1.0082
0.186553,1269118204,-0.0239,-0.0068,1.0077
0.187692,1269119343,-0.0234,-0.0063,1.0077
0.188870,1269120521,-0.0220,-0.0044,1.0082
0.190050,1269121701,-0.0224,-0.0039,1.0058
0.191206,1269122857,-0.0224,-0.0049,1.0048
0.192344,1269123995,-0.0220,-0.0054,1.0102
0.193502,1269125153,-0.0234,-0.0049,1.0106
0.194681,1269126332,-0.0224,-0.0039,1.0087
0.195819,1269127470,-0.0205,-0.0049,1.0111
0.197000,1269128651,-0.0210,-0.0049,1.0087
0.198140,1269129791,-0.0234,-0.0054,1.0063
0.199305,1269130956,-0.0224,-0.0063,1.0053
0.200463,1269132114,-0.0254,-0.0049,1.0058
0.201643,1269133294,-0.0283,-0.0054,1.0077
0.202797,1269134448,-0.0239,-0.0063,1.0097
0.203951,1269135602,-0.0215,-0.0049,1.0102
0.205090,1269136741,-0.0205,-0.0020,1.0097
0.206271,1269137922,-0.0195,-0.0029,1.0102
0.207453,1269139104,-0.0200,-0.0054,1.0111
0.208593,1269140244,-0.0220,-0.0054,1.0082
0.209731,1269141382,-0.0244,-0.0063,1.0058
0.210914,1269142565,-0.0264,-0.0078,1.0072
0.212068,1269143719,-0.0239,-0.0059,1.0077
0.213202,1269144853,-0.0200,-0.0044,1.0111
0.214425,1269146076,-0.0220,-0.0049,1.0126
0.215534,1269147185,-0.0224,-0.0044,1.0097
0.216718,1269148369,-0.0234,-0.0054,1.0072
0.217856,1269149507,-0.0254,-0.0049,1.0072
0.219035,1269150686,-0.0244,-0.0039,1.0111
0.220182,1269151833,-0.0220,-0.0068,1.0146
0.221336,1269152987,-0.0215,-0.0063,1.0126
0.222488,1269154139,-0.0215,-0.0068,1.0106
0.223667,1269155318,-0.0210,-0.0083,1.0102
0.224819,1269156470,-0.0195,-0.0063,1.0087
0.225959,1269157610,-0.0210,-0.0068,1.0092
0.227139,1269158790,-0.0205,-0.0073,1.0131
0.228276,1269159927,-0.0210,-0.0059,1.0116
0.229434,1269161085,-0.0244,-0.0034,1.0058
0.230613,1269162264,-0.0244,-0.0059,1.0048
0.231751,1269163402,-0.0239,-0.0083,1.0092
0.232930,1269164581,-0.0244,-0.0063,1.0106
0.234069,1269165720,-0.0239,-0.0063,1.0097
0.235231,1269166882,-0.0224,-0.0083,1.0097
0.236413,1269168064,-0.0205,-0.0093,1.0082
0.237551,1269169202,-0.0220,-0.0078,1.0102
0.238730,1269170381,-0.0259,-0.0049,1.0136
0.239868,1269171519,-0.0249,-0.0054,1.0097
0.241047,1269172698,-0.0220,-0.0063,1.0067
0.242213,1269173864,-0.0234,-0.0049,1.0077
0.243395,1269175046,-0.0244,-0.0054,1.0077
0.244537,1269176188,-0.0220,-0.0068,1.0092
0.245675,1269177326,-0.0205,-0.0068,1.0126
0.246854,1269178505,-0.0205,-0.0068,1.0106
0.247994,1269179645,-0.0205,-0.0078,1.0092
0.249174,1269180825,-0.0229,-0.0073,1.0102
0.250356,1269182007,-0.0239,-0.0039,1.0097
0.251495,1269183146,-0.0210,-0.0034,1.0082
0.252633,1269184284,-0.0220,-0.0063,1.0072
0.253812,1269185463,-0.0254,-0.0068,1.0072
0.254951,1269186602,-0.0249,-0.0068,1.0082
0.256106,1269187757,-0.0254,-0.0068,1.0097
0.257260,1269188911,-0.0259,-0.0054,1.0092
0.258429,1269190080,-0.0239,-0.0044,1.0082
0.259581,1269191232,-0.0224,-0.0020,1.0082
0.260760,1269192411,-0.0210,-0.0024,1.0106
0.261900,1269193551,-0.0220,-0.0029,1.0121
0.263080,1269194731,-0.0220,-0.0010,1.0102
0.264234,1269195885,-0.0200,-0.0034,1.0092
0.265375,1269197026,-0.0210,-0.0078,1.0106
0.266555,1269198206,-0.0215,-0.0063,1.0097
0.267693,1269199344,-0.0224,-0.0049,1.0072
0.268880,1269200531,-0.0224,-0.0078,1.0067
0.270019,1269201670,-0.0224,-0.0044,1.0067
0.271179,1269202830,-0.0249,-0.0024,1.0087
0.272337,1269203988,-0.0244,-0.0068,1.0097
0.273517,1269205168,-0.0195,-0.0078,1.0067
0.274661,1269206312,-0.0210,-0.0049,1.0063
0.275799,1269207450,-0.0234,-0.0015,1.0106
0.276979,1269208630,-0.0215,-0.0029,1.0087
0.278144,1269209795,-0.0224,-0.0049,1.0067
0.279327,1269210978,-0.0224,-0.0049,1.0102
0.280466,1269212117,-0.0215,-0.0015,1.0106
0.281604,1269213255,-0.0220,-0.0015,1.0116
0.282744,1269214395,-0.0239,-0.0054,1.0106
0.283925,1269215576,-0.0264,-0.0049,1.0072
0.285073,1269216724,-0.0259,-0.0049,1.0087
0.286228,1269217879,-0.0244,-0.0049,1.0111
0.287379,1269219030,-0.0234,-0.0054,1.0106
0.288557,1269220208,-0.0215,-0.0068,1.0072
0.289695,1269221346,-0.0239,-0.0073,1.0058
0.290874,1269222525,-0.0254,-0.0073,1.0058
0.292030,1269223681,-0.0234,-0.0059,1.0077
0.293184,1269224835,-0.0224,-0.0059,1.0097
0.294336,1269225987,-0.0215,-0.0068,1.0072
0.295515,1269227166,-0.0239,-0.0063,1.0072
0.296654,1269228305,-0.0244,-0.0054,1.0092
0.297845,1269229496,-0.0234,-0.0039,1.0082
0.299001,1269230652,-0.0224,-0.0010,1.0082
0.300139,1269231790,-0.0234,-0.0034,1.0121
0.301297,1269232948,-0.0239,-0.0063,1.0136
0.302476,1269234127,-0.0234,-0.0063,1.0102
0.303614,1269235265,-0.0229,-0.0083,1.0067
0.304795,1269236446,-0.0215,-0.0059,1.0067
0.305935,1269237586,-0.0215,-0.0039,1.0063
0.307125,1269238776,-0.0220,-0.0059,1.0058
0.308283,1269239934,-0.0229,-0.0059,1.0067
0.309423,1269241074,-0.0224,-0.0054,1.0058
0.310602,1269242253,-0.0220,-0.0054,1.0053
0.311752,1269243403,-0.0244,-0.0059,1.0067
0.312891,1269244542,-0.0210,-0.0073,1.0072
0.314055,1269245706,-0.0200,-0.0083,1.0097
0.315236,1269246887,-0.0224,-0.0073,1.0102
0.316375,1269248026,-0.0220,-0.0068,1.0097
0.317554,1269249205,-0.0234,-0.0073,1.0102
0.318692,1269250343,-0.0234,-0.0059,1.0097
0.319881,1269251532,-0.0210,-0.0054,1.0106
0.321006,1269252657,-0.0210,-0.0063,1.0116
0.322160,1269253811,-0.0249,-0.0049,1.0106
0.323353,1269255004,-0.0239,-0.0049,1.0072
0.324491,1269256142,-0.0220,-0.0063,1.0038
0.325642,1269257293,-0.0220,-0.0039,1.0038
0.326822,1269258473,-0.0215,-0.0024,1.0043
0.327978,1269259629,-0.0220,-0.0044,1.0082
0.329133,1269260784,-0.0234,-0.0054,1.0116
0.330284,1269261935,-0.0244,-0.0068,1.0097
0.331463,1269263114,-0.0234,-0.0063,1.0106
0.332602,1269264253,-0.0220,-0.0039,1.0102
0.333783,1269265434,-0.0205,-0.0039,1.0087
0.334941,1269266592,-0.0205,-0.0034,1.0106
0.336095,1269267746,-0.0200,-0.0034,1.0111
0.337230,1269268881,-0.0210,-0.0044,1.0111
0.338410,1269270061,-0.0220,-0.0054,1.0092
0.339548,1269271199,-0.0205,-0.0044,1.0082
0.340727,1269272378,-0.0190,-0.0034,1.0067
0.341865,1269273516,-0.0190,-0.0039,1.0072
0.343026,1269274677,-0.0195,-0.0063,1.0087
0.344183,1269275834,-0.0215,-0.0073,1.0077
0.345362,1269277013,-0.0224,-0.0059,1.0087
0.346506,1269278157,-0.0220,-0.0044,1.0106
0.347685,1269279336,-0.0220,-0.0044,1.0102
0.348823,1269280474,-0.0220,-0.0049,1.0092
0.349989,1269281640,-0.0224,-0.0073,1.0092
0.351170,1269282821,-0.0229,-0.0098,1.0087
0.352310,1269283961,-0.0220,-0.0078,1.0063
0.353448,1269285099,-0.0195,-0.0073,1.0072
0.354629,1269286280,-0.0200,-0.0054,1.0087
0.355767,1269287418,-0.0210,-0.0024,1.0082
0.356954,1269288605,-0.0215,-0.0049,1.0102
0.358137,1269289788,-0.0215,-0.0049,1.0082
0.359277,1269290928,-0.0244,-0.0034,1.0058
0.360416,1269292067,-0.0220,-0.0034,1.0092
0.361595,1269293246,-0.0205,-0.0020,1.0092
0.362747,1269294398,-0.0239,-0.0020,1.0048
0.363897,1269295548,-0.0234,-0.0029,1.0063
0.365051,1269296702,-0.0229,-0.0054,1.0082
0.366219,1269297870,-0.0224,-0.0088,1.0082
0.367364,1269299015,-0.0185,-0.0073,1.0092
0.368543,1269300194,-0.0185,-0.0039,1.0111
0.369682,1269301333,-0.0220,-0.0068,1.0126
0.370862,1269302513,-0.0234,-0.0073,1.0116
0.372016,1269303667,-0.0220,-0.0049,1.0097
0.373147,1269304798,-0.0215,-0.0059,1.0077
0.374327,1269305978,-0.0229,-0.0059,1.0092
0.375465,1269307116,-0.0210,-0.0063,1.0102
0.376654,1269308305,-0.0200,-0.0044,1.0082
0.377793,1269309444,-0.0215,-0.0034,1.0072
0.378951,1269310602,-0.0215,-0.0059,1.0082
0.380109,1269311760,-0.0215,-0.0059,1.0082
0.381251,1269312902,-0.0224,-0.0063,1.0072
0.382430,1269314081,-0.0210,-0.0054,1.0092
