# AccelStream v4 capture
# written_utc: 2026-09-15T15:49:11.826192+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 245600296
# on_t_s: -19.138230
# set_t_us: 267633701
# set_t_s: 2.895175
# go_t_us: 269335613
# go_t_s: 4.597087
# arm_t_us: 268634473
# arm_t_s: 3.895947
# arm_peak_mg: 14.46
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 213.449
# board_onset_t_us: 269549062
t_s,t_us,x_g,y_g,z_g
0.000000,264738526,-0.0122,0.0039,1.0131
0.001130,264739656,-0.0161,0.0059,1.0111
0.002309,264740835,-0.0151,0.0063,1.0087
0.003448,264741974,-0.0112,0.0059,1.0072
0.004627,264743153,-0.0098,0.0063,1.0082
0.005793,264744319,-0.0127,0.0073,1.0131
0.006943,264745469,-0.0161,0.0073,1.0150
0.008098,264746624,-0.0166,0.0063,1.0155
0.009236,264747762,-0.0146,0.0068,1.0126
0.010416,264748942,-0.0142,0.0078,1.0067
0.011553,264750079,-0.0122,0.0088,1.0053
0.012720,264751246,-0.0112,0.0088,1.0063
0.013899,264752425,-0.0117,0.0059,1.0082
0.015055,264753581,-0.0127,0.0059,1.0111
0.016194,264754720,-0.0137,0.0063,1.0126
0.017373,264755899,-0.0151,0.0073,1.0126
0.018510,264757036,-0.0146,0.0073,1.0111
0.019677,264758203,-0.0156,0.0054,1.0126
0.020828,264759354,-0.0166,0.0059,1.0155
0.021983,264760509,-0.0137,0.0049,1.0150
0.023164,264761690,-0.0132,0.0049,1.0131
0.024305,264762831,-0.0132,0.0049,1.0116
0.025470,264763996,-0.0137,0.0059,1.0102
0.026637,264765163,-0.0185,0.0063,1.0097
0.027793,264766319,-0.0185,0.0039,1.0102
0.028948,264767474,-0.0146,0.0049,1.0106
0.030087,264768613,-0.0127,0.0083,1.0116
0.031268,264769794,-0.0137,0.0083,1.0102
0.032433,264770959,-0.0171,0.0083,1.0082
0.033598,264772124,-0.0151,0.0107,1.0126
0.034754,264773280,-0.0117,0.0102,1.0141
0.035910,264774436,-0.0107,0.0063,1.0116
0.037059,264775585,-0.0107,0.0059,1.0106
0.038213,264776739,-0.0122,0.0063,1.0106
0.039392,264777918,-0.0137,0.0049,1.0131
0.040561,264779087,-0.0142,0.0054,1.0126
0.041673,264780199,-0.0122,0.0049,1.0116
0.042853,264781379,-0.0107,0.0054,1.0106
0.044024,264782550,-0.0142,0.0063,1.0121
0.045176,264783702,-0.0161,0.0054,1.0136
0.046318,264784844,-0.0151,0.0059,1.0106
0.047496,264786022,-0.0146,0.0059,1.0092
0.048635,264787161,-0.0137,0.0054,1.0116
0.049814,264788340,-0.0151,0.0073,1.0116
0.050950,264789476,-0.0142,0.0073,1.0111
0.052129,264790655,-0.0122,0.0073,1.0126
0.053268,264791794,-0.0142,0.0073,1.0121
0.054446,264792972,-0.0107,0.0063,1.0146
0.055613,264794139,-0.0088,0.0068,1.0150
0.056759,264795285,-0.0127,0.0068,1.0136
0.057915,264796441,-0.0151,0.0068,1.0121
0.059053,264797579,-0.0132,0.0073,1.0111
0.060234,264798760,-0.0117,0.0063,1.0111
0.061392,264799918,-0.0156,0.0063,1.0087
0.062558,264801084,-0.0156,0.0083,1.0097
0.063697,264802223,-0.0137,0.0073,1.0111
0.064861,264803387,-0.0132,0.0039,1.0102
0.066040,264804566,-0.0146,0.0039,1.0116
0.067178,264805704,-0.0166,0.0054,1.0136
0.068332,264806858,-0.0142,0.0073,1.0141
0.069499,264808025,-0.0142,0.0054,1.0136
0.070652,264809178,-0.0151,0.0044,1.0102
0.071809,264810335,-0.0146,0.0083,1.0097
0.072989,264811515,-0.0132,0.0078,1.0131
0.074129,264812655,-0.0137,0.0088,1.0141
0.075295,264813821,-0.0122,0.0098,1.0146
0.076460,264814986,-0.0122,0.0078,1.0121
0.077616,264816142,-0.0161,0.0049,1.0102
0.078787,264817313,-0.0151,0.0020,1.0106
0.079925,264818451,-0.0156,0.0029,1.0082
0.081065,264819591,-0.0176,0.0054,1.0072
0.082244,264820770,-0.0146,0.0073,1.0106
0.083409,264821935,-0.0127,0.0078,1.0121
0.084559,264823085,-0.0137,0.0083,1.0097
0.085698,264824224,-0.0142,0.0083,1.0111
0.086869,264825395,-0.0146,0.0059,1.0141
0.088021,264826547,-0.0146,0.0063,1.0141
0.089204,264827730,-0.0151,0.0102,1.0155
0.090351,264828877,-0.0132,0.0078,1.0131
0.091519,264830045,-0.0132,0.0068,1.0087
