# accel_live capture
# started_utc: 2026-09-07T14:03:54.026026+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,2661673022,-0.0220,-0.0356,1.0199,2026-09-07T14:03:58.958868+00:00
0.001021,2661674043,-0.0273,-0.0322,1.0165,2026-09-07T14:03:58.959115+00:00
0.002055,2661675077,-0.0215,-0.0351,1.0189,2026-09-07T14:03:58.959142+00:00
0.003077,2661676099,-0.0259,-0.0342,1.0131,2026-09-07T14:03:58.959155+00:00
0.004099,2661677121,-0.0268,-0.0366,1.0136,2026-09-07T14:03:58.959560+00:00
0.005124,2661678146,-0.0210,-0.0386,1.0087,2026-09-07T14:03:58.962515+00:00
0.006146,2661679168,-0.0273,-0.0381,1.0141,2026-09-07T14:03:58.965412+00:00
0.007168,2661680190,-0.0264,-0.0361,1.0170,2026-09-07T14:03:58.967457+00:00
0.008190,2661681212,-0.0259,-0.0386,1.0102,2026-09-07T14:03:58.969375+00:00
0.009231,2661682253,-0.0249,-0.0346,1.0111,2026-09-07T14:03:58.972786+00:00
0.010255,2661683277,-0.0224,-0.0322,1.0106,2026-09-07T14:03:58.974278+00:00
0.011277,2661684299,-0.0239,-0.0346,1.0126,2026-09-07T14:03:58.979681+00:00
0.012301,2661685323,-0.0200,-0.0303,1.0126,2026-09-07T14:03:58.979717+00:00
0.013322,2661686344,-0.0190,-0.0337,1.0077,2026-09-07T14:03:58.981693+00:00
0.014344,2661687366,-0.0264,-0.0351,1.0116,2026-09-07T14:03:58.985674+00:00
0.015375,2661688397,-0.0200,-0.0312,1.0092,2026-09-07T14:03:58.987148+00:00
0.016397,2661689419,-0.0210,-0.0298,1.0189,2026-09-07T14:03:58.988853+00:00
0.017420,2661690442,-0.0210,-0.0307,1.0219,2026-09-07T14:03:58.991404+00:00
0.018442,2661691464,-0.0288,-0.0303,1.0131,2026-09-07T14:03:58.993701+00:00
0.019500,2661692522,-0.0215,-0.0278,1.0180,2026-09-07T14:03:58.996156+00:00
0.020523,2661693545,-0.0288,-0.0268,1.0141,2026-09-07T14:03:58.998720+00:00
0.021572,2661694594,-0.0288,-0.0293,1.0150,2026-09-07T14:03:59.001032+00:00
0.022610,2661695632,-0.0249,-0.0259,1.0116,2026-09-07T14:03:59.004689+00:00
0.023632,2661696654,-0.0268,-0.0283,1.0165,2026-09-07T14:03:59.005943+00:00
0.024653,2661697675,-0.0234,-0.0283,1.0116,2026-09-07T14:03:59.008586+00:00
0.025675,2661698697,-0.0190,-0.0273,1.0155,2026-09-07T14:03:59.010575+00:00
