# accel_live capture
# started_utc: 2026-09-03T12:46:09.767126+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,958316316,0.0342,-0.0310,1.0182,2026-09-03T12:46:09.773069+00:00
0.004355,958320671,0.0351,-0.0310,1.0160,2026-09-03T12:46:09.773468+00:00
0.008623,958324939,0.0344,-0.0305,1.0177,2026-09-03T12:46:09.778999+00:00
0.013010,958329326,0.0344,-0.0320,1.0177,2026-09-03T12:46:09.782085+00:00
0.017318,958333634,0.0332,-0.0317,1.0182,2026-09-03T12:46:09.786397+00:00
0.021688,958338004,0.0344,-0.0312,1.0175,2026-09-03T12:46:09.791140+00:00
0.026008,958342324,0.0356,-0.0310,1.0158,2026-09-03T12:46:09.795391+00:00
0.030327,958346643,0.0349,-0.0298,1.0182,2026-09-03T12:46:09.799457+00:00
0.034632,958350948,0.0346,-0.0300,1.0175,2026-09-03T12:46:09.803993+00:00
0.039019,958355335,0.0332,-0.0307,1.0170,2026-09-03T12:46:09.808083+00:00
0.043285,958359601,0.0344,-0.0315,1.0158,2026-09-03T12:46:09.812386+00:00
0.047607,958363923,0.0337,-0.0307,1.0167,2026-09-03T12:46:09.816646+00:00
0.051874,958368190,0.0354,-0.0315,1.0172,2026-09-03T12:46:09.821100+00:00
0.056305,958372621,0.0359,-0.0303,1.0180,2026-09-03T12:46:09.825486+00:00
0.060640,958376956,0.0351,-0.0295,1.0172,2026-09-03T12:46:09.829838+00:00
0.064977,958381293,0.0349,-0.0307,1.0141,2026-09-03T12:46:09.834202+00:00
0.069303,958385619,0.0339,-0.0317,1.0172,2026-09-03T12:46:09.838469+00:00
0.073548,958389864,0.0344,-0.0322,1.0180,2026-09-03T12:46:09.842744+00:00
0.077870,958394186,0.0342,-0.0307,1.0167,2026-09-03T12:46:09.847107+00:00
0.082145,958398461,0.0344,-0.0310,1.0153,2026-09-03T12:46:09.851770+00:00
0.086378,958402694,0.0351,-0.0305,1.0167,2026-09-03T12:46:09.856558+00:00
0.090737,958407053,0.0351,-0.0307,1.0175,2026-09-03T12:46:09.860083+00:00
0.095075,958411391,0.0332,-0.0307,1.0170,2026-09-03T12:46:09.866342+00:00
0.099335,958415651,0.0344,-0.0315,1.0182,2026-09-03T12:46:09.868773+00:00
0.103695,958420011,0.0351,-0.0305,1.0165,2026-09-03T12:46:09.873165+00:00
0.108055,958424371,0.0356,-0.0303,1.0172,2026-09-03T12:46:09.877891+00:00
0.112384,958428700,0.0344,-0.0310,1.0185,2026-09-03T12:46:09.882258+00:00
0.116770,958433086,0.0337,-0.0300,1.0180,2026-09-03T12:46:09.886554+00:00
0.120985,958437301,0.0351,-0.0303,1.0165,2026-09-03T12:46:09.893415+00:00
0.125274,958441590,0.0359,-0.0327,1.0172,2026-09-03T12:46:09.896347+00:00
0.129620,958445936,0.0356,-0.0317,1.0170,2026-09-03T12:46:09.899136+00:00
0.134046,958450362,0.0354,-0.0307,1.0177,2026-09-03T12:46:09.903393+00:00
0.138299,958454615,0.0354,-0.0305,1.0172,2026-09-03T12:46:09.907767+00:00
0.142672,958458988,0.0359,-0.0298,1.0163,2026-09-03T12:46:09.912199+00:00
0.147050,958463366,0.0342,-0.0303,1.0167,2026-09-03T12:46:09.916463+00:00
0.151308,958467624,0.0329,-0.0307,1.0170,2026-09-03T12:46:09.920769+00:00
0.155604,958471920,0.0344,-0.0310,1.0175,2026-09-03T12:46:09.925133+00:00
0.159981,958476297,0.0346,-0.0312,1.0182,2026-09-03T12:46:09.929496+00:00
0.164325,958480641,0.0349,-0.0303,1.0177,2026-09-03T12:46:09.933943+00:00
0.168749,958485065,0.0339,-0.0317,1.0165,2026-09-03T12:46:09.938224+00:00
0.173012,958489328,0.0339,-0.0300,1.0165,2026-09-03T12:46:09.942504+00:00
0.177242,958493558,0.0337,-0.0307,1.0170,2026-09-03T12:46:09.946766+00:00
0.181538,958497854,0.0337,-0.0305,1.0175,2026-09-03T12:46:09.951091+00:00
0.185867,958502183,0.0346,-0.0307,1.0172,2026-09-03T12:46:09.955375+00:00
0.190113,958506429,0.0342,-0.0295,1.0175,2026-09-03T12:46:09.959685+00:00
0.194450,958510766,0.0344,-0.0305,1.0182,2026-09-03T12:46:09.964116+00:00
0.198819,958515135,0.0344,-0.0305,1.0163,2026-09-03T12:46:09.968429+00:00
0.203148,958519464,0.0332,-0.0305,1.0180,2026-09-03T12:46:09.972770+00:00
0.207512,958523828,0.0354,-0.0298,1.0167,2026-09-03T12:46:09.977131+00:00
0.211788,958528104,0.0342,-0.0300,1.0177,2026-09-03T12:46:09.981396+00:00
0.216121,958532437,0.0342,-0.0295,1.0182,2026-09-03T12:46:09.985801+00:00
0.220489,958536805,0.0342,-0.0305,1.0160,2026-09-03T12:46:09.990130+00:00
0.224759,958541075,0.0329,-0.0295,1.0170,2026-09-03T12:46:09.994430+00:00
0.229095,958545411,0.0342,-0.0300,1.0185,2026-09-03T12:46:09.998762+00:00
0.233412,958549728,0.0354,-0.0312,1.0172,2026-09-03T12:46:10.003126+00:00
0.237808,958554124,0.0342,-0.0303,1.0180,2026-09-03T12:46:10.007517+00:00
0.242153,958558469,0.0342,-0.0307,1.0185,2026-09-03T12:46:10.011914+00:00
0.246536,958562852,0.0344,-0.0310,1.0160,2026-09-03T12:46:10.016229+00:00
0.250872,958567188,0.0339,-0.0307,1.0163,2026-09-03T12:46:10.020579+00:00
0.255225,958571541,0.0349,-0.0310,1.0170,2026-09-03T12:46:10.024877+00:00
0.259468,958575784,0.0349,-0.0310,1.0167,2026-09-03T12:46:10.029204+00:00
0.263770,958580086,0.0356,-0.0312,1.0170,2026-09-03T12:46:10.033417+00:00
0.268062,958584378,0.0344,-0.0312,1.0170,2026-09-03T12:46:10.037724+00:00
0.272303,958588619,0.0349,-0.0300,1.0163,2026-09-03T12:46:10.041973+00:00
0.276539,958592855,0.0344,-0.0300,1.0167,2026-09-03T12:46:10.046212+00:00
0.280765,958597081,0.0339,-0.0322,1.0170,2026-09-03T12:46:10.051047+00:00
0.285027,958601343,0.0339,-0.0305,1.0192,2026-09-03T12:46:10.057260+00:00
0.289302,958605618,0.0354,-0.0315,1.0177,2026-09-03T12:46:10.059143+00:00
0.293623,958609939,0.0342,-0.0312,1.0175,2026-09-03T12:46:10.063459+00:00
0.297871,958614187,0.0339,-0.0305,1.0163,2026-09-03T12:46:10.067883+00:00
0.302188,958618504,0.0346,-0.0303,1.0163,2026-09-03T12:46:10.072115+00:00
0.306546,958622862,0.0327,-0.0310,1.0170,2026-09-03T12:46:10.076311+00:00
0.310816,958627132,0.0346,-0.0312,1.0170,2026-09-03T12:46:10.080669+00:00
0.315175,958631491,0.0337,-0.0317,1.0177,2026-09-03T12:46:10.085088+00:00
0.319440,958635756,0.0349,-0.0293,1.0160,2026-09-03T12:46:10.089319+00:00
0.323819,958640135,0.0349,-0.0295,1.0167,2026-09-03T12:46:10.093554+00:00
0.328071,958644387,0.0344,-0.0303,1.0175,2026-09-03T12:46:10.097968+00:00
0.332461,958648777,0.0356,-0.0312,1.0170,2026-09-03T12:46:10.102323+00:00
0.336787,958653103,0.0356,-0.0307,1.0177,2026-09-03T12:46:10.106597+00:00
0.341045,958657361,0.0351,-0.0305,1.0163,2026-09-03T12:46:10.110950+00:00
0.345434,958661750,0.0342,-0.0298,1.0165,2026-09-03T12:46:10.115311+00:00
0.349765,958666081,0.0349,-0.0305,1.0177,2026-09-03T12:46:10.119546+00:00
0.354011,958670327,0.0342,-0.0312,1.0160,2026-09-03T12:46:10.123935+00:00
0.358378,958674694,0.0342,-0.0310,1.0172,2026-09-03T12:46:10.128227+00:00
0.362718,958679034,0.0332,-0.0298,1.0187,2026-09-03T12:46:10.132556+00:00
0.366994,958683310,0.0354,-0.0310,1.0177,2026-09-03T12:46:10.136944+00:00
0.371395,958687711,0.0332,-0.0305,1.0170,2026-09-03T12:46:10.141276+00:00
0.375697,958692013,0.0339,-0.0300,1.0172,2026-09-03T12:46:10.145589+00:00
0.380035,958696351,0.0361,-0.0312,1.0170,2026-09-03T12:46:10.150086+00:00
0.384470,958700786,0.0354,-0.0303,1.0167,2026-09-03T12:46:10.154350+00:00
0.388722,958705038,0.0356,-0.0295,1.0177,2026-09-03T12:46:10.158607+00:00
0.393015,958709331,0.0337,-0.0300,1.0170,2026-09-03T12:46:10.162912+00:00
0.397285,958713601,0.0359,-0.0295,1.0182,2026-09-03T12:46:10.167297+00:00
0.401648,958717964,0.0346,-0.0305,1.0172,2026-09-03T12:46:10.171549+00:00
0.405967,958722283,0.0349,-0.0315,1.0165,2026-09-03T12:46:10.175982+00:00
0.410318,958726634,0.0325,-0.0310,1.0172,2026-09-03T12:46:10.180253+00:00
0.414593,958730909,0.0342,-0.0312,1.0177,2026-09-03T12:46:10.184564+00:00
0.418926,958735242,0.0351,-0.0312,1.0141,2026-09-03T12:46:10.189059+00:00
0.423293,958739609,0.0356,-0.0303,1.0189,2026-09-03T12:46:10.193349+00:00
0.427623,958743939,0.0356,-0.0315,1.0187,2026-09-03T12:46:10.197665+00:00
0.431935,958748251,0.0346,-0.0300,1.0172,2026-09-03T12:46:10.202052+00:00
