timestamp_iso,elapsed_s,x_g,y_g,z_g
2026-09-01T11:43:41.455218+00:00,0.000000,0.3564,0.0132,0.9202
2026-09-01T11:43:41.457218+00:00,0.000602,0.3581,0.0113,0.9202
2026-09-01T11:43:41.459218+00:00,0.001204,0.3517,0.0126,0.9224
2026-09-01T11:43:41.461218+00:00,0.001806,0.3561,0.0122,0.9199
2026-09-01T11:43:41.463218+00:00,0.002408,0.3556,0.0109,0.9272
2026-09-01T11:43:41.466218+00:00,0.003010,0.3564,0.0084,0.9224
2026-09-01T11:43:41.468218+00:00,0.003612,0.3527,0.0127,0.9273
2026-09-01T11:43:41.470218+00:00,0.004214,0.3516,0.0146,0.9313
2026-09-01T11:43:41.472218+00:00,0.004816,0.3587,0.0205,0.9271
2026-09-01T11:43:41.475218+00:00,0.005418,0.3536,0.0153,0.9266
2026-09-01T11:43:41.476218+00:00,0.006020,0.3533,0.0173,0.9223
2026-09-01T11:43:41.478218+00:00,0.006622,0.3512,0.0155,0.9268
2026-09-01T11:43:41.497218+00:00,0.007224,0.3525,0.0149,0.9229
2026-09-01T11:43:41.499218+00:00,0.007826,0.3542,0.0139,0.9254
2026-09-01T11:43:41.501218+00:00,0.008428,0.3558,0.0123,0.9233
2026-09-01T11:43:41.503218+00:00,0.009030,0.3542,0.0120,0.9240
2026-09-01T11:43:41.505218+00:00,0.009632,0.3558,0.0140,0.9220
2026-09-01T11:43:41.507218+00:00,0.010234,0.3561,0.0156,0.9263
2026-09-01T11:43:41.521218+00:00,0.010836,0.3538,0.0148,0.9278
2026-09-01T11:43:41.523218+00:00,0.011438,0.3556,0.0134,0.9283
2026-09-01T11:43:41.525218+00:00,0.012040,0.3543,0.0172,0.9302
2026-09-01T11:43:41.527218+00:00,0.012642,0.3520,0.0171,0.9284
2026-09-01T11:43:41.529218+00:00,0.013244,0.3511,0.0148,0.9261
2026-09-01T11:43:41.530218+00:00,0.013846,0.3549,0.0209,0.9224
2026-09-01T11:43:41.532218+00:00,0.014448,0.3483,0.0193,0.9212
2026-09-01T11:43:41.533218+00:00,0.015050,0.3537,0.0156,0.9189
2026-09-01T11:43:41.555218+00:00,0.015652,0.3498,0.0151,0.9198
2026-09-01T11:43:41.556218+00:00,0.016254,0.3534,0.0143,0.9178
2026-09-01T11:43:41.560218+00:00,0.016856,0.3556,0.0153,0.9228
2026-09-01T11:43:41.562218+00:00,0.017458,0.3550,0.0123,0.9215
2026-09-01T11:43:41.569219+00:00,0.018060,0.3545,0.0098,0.9171
2026-09-01T11:43:41.570218+00:00,0.018662,0.3505,0.0110,0.9194
2026-09-01T11:43:41.573218+00:00,0.019264,0.3549,0.0060,0.9159
2026-09-01T11:43:41.576219+00:00,0.019866,0.3554,0.0096,0.9148
2026-09-01T11:43:41.584218+00:00,0.020468,0.3521,0.0071,0.9163
2026-09-01T11:43:41.586218+00:00,0.021070,0.3517,0.0105,0.9199
2026-09-01T11:43:41.587218+00:00,0.021672,0.3555,0.0168,0.9196
2026-09-01T11:43:41.588219+00:00,0.022274,0.3506,0.0155,0.9211
2026-09-01T11:43:41.589218+00:00,0.022876,0.3548,0.0157,0.9229
2026-09-01T11:43:41.590218+00:00,0.023478,0.3499,0.0176,0.9232
2026-09-01T11:43:41.591218+00:00,0.024080,0.3479,0.0167,0.9220
2026-09-01T11:43:41.593218+00:00,0.024682,0.3537,0.0184,0.9223
2026-09-01T11:43:41.594218+00:00,0.025284,0.3495,0.0189,0.9239
2026-09-01T11:43:41.595218+00:00,0.025886,0.3484,0.0240,0.9232
2026-09-01T11:43:41.596218+00:00,0.026488,0.3514,0.0198,0.9226
2026-09-01T11:43:41.597218+00:00,0.027090,0.3504,0.0201,0.9261
2026-09-01T11:43:41.598218+00:00,0.027692,0.3523,0.0201,0.9239
2026-09-01T11:43:41.599218+00:00,0.028294,0.3561,0.0234,0.9255
2026-09-01T11:43:41.600218+00:00,0.028896,0.3509,0.0182,0.9238
2026-09-01T11:43:41.601218+00:00,0.029498,0.3484,0.0200,0.9239
2026-09-01T11:43:41.602218+00:00,0.030100,0.3551,0.0182,0.9254
2026-09-01T11:43:41.603218+00:00,0.030702,0.3565,0.0174,0.9301
2026-09-01T11:43:41.604218+00:00,0.031304,0.3558,0.0110,0.9282
2026-09-01T11:43:41.605218+00:00,0.031906,0.3573,0.0166,0.9273
2026-09-01T11:43:41.607219+00:00,0.032508,0.3572,0.0111,0.9278
2026-09-01T11:43:41.608218+00:00,0.033110,0.3583,0.0129,0.9288
2026-09-01T11:43:41.609218+00:00,0.033712,0.3573,0.0118,0.9276
2026-09-01T11:43:41.610219+00:00,0.034314,0.3577,0.0101,0.9281
2026-09-01T11:43:41.611219+00:00,0.034916,0.3590,0.0106,0.9296
2026-09-01T11:43:41.612218+00:00,0.035518,0.3592,0.0121,0.9254
2026-09-01T11:43:41.613219+00:00,0.036120,0.3572,0.0072,0.9292
2026-09-01T11:43:41.614218+00:00,0.036722,0.3626,0.0081,0.9299
2026-09-01T11:43:41.615218+00:00,0.037324,0.3576,0.0083,0.9298
2026-09-01T11:43:41.616218+00:00,0.037926,0.3600,0.0081,0.9266
2026-09-01T11:43:41.618218+00:00,0.038528,0.3594,0.0079,0.9311
2026-09-01T11:43:41.619219+00:00,0.039130,0.3604,0.0078,0.9244
2026-09-01T11:43:41.620219+00:00,0.039732,0.3606,0.0068,0.9306
2026-09-01T11:43:41.621218+00:00,0.040334,0.3632,0.0079,0.9348
2026-09-01T11:43:41.622218+00:00,0.040936,0.3605,0.0017,0.9292
2026-09-01T11:43:41.623218+00:00,0.041538,0.3560,0.0033,0.9315
2026-09-01T11:43:41.624218+00:00,0.042140,0.3588,0.0062,0.9301
2026-09-01T11:43:41.625219+00:00,0.042742,0.3586,0.0057,0.9233
2026-09-01T11:43:41.626218+00:00,0.043344,0.3579,0.0076,0.9233
2026-09-01T11:43:41.627218+00:00,0.043946,0.3604,0.0071,0.9227
2026-09-01T11:43:41.629219+00:00,0.044548,0.3560,0.0102,0.9221
2026-09-01T11:43:41.630218+00:00,0.045150,0.3583,0.0059,0.9202
2026-09-01T11:43:41.631218+00:00,0.045752,0.3507,0.0092,0.9195
2026-09-01T11:43:41.632218+00:00,0.046354,0.3559,0.0137,0.9221
2026-09-01T11:43:41.633218+00:00,0.046956,0.3509,0.0135,0.9221
2026-09-01T11:43:41.634218+00:00,0.047558,0.3507,0.0116,0.9178
2026-09-01T11:43:41.635218+00:00,0.048160,0.3515,0.0144,0.9246
2026-09-01T11:43:41.636218+00:00,0.048762,0.3507,0.0140,0.9190
2026-09-01T11:43:41.637218+00:00,0.049364,0.3498,0.0137,0.9199
2026-09-01T11:43:41.738218+00:00,0.049966,0.3505,0.0184,0.9216
2026-09-01T11:43:41.843273+00:00,0.050568,0.3507,0.0204,0.9143
2026-09-01T11:43:41.888106+00:00,0.051170,0.3507,0.0226,0.9176
2026-09-01T11:43:41.890105+00:00,0.051772,0.3466,0.0204,0.9119
2026-09-01T11:43:41.895105+00:00,0.052374,0.3476,0.0224,0.9180
2026-09-01T11:43:41.902123+00:00,0.052976,0.3443,0.0206,0.9134
2026-09-01T11:43:41.949680+00:00,0.053578,0.3490,0.0201,0.9116
2026-09-01T11:43:41.983794+00:00,0.054180,0.3471,0.0242,0.9156
2026-09-01T11:43:42.043687+00:00,0.054782,0.3504,0.0204,0.9146
2026-09-01T11:43:42.048778+00:00,0.055384,0.3483,0.0228,0.9149
2026-09-01T11:43:42.222049+00:00,0.055986,0.3506,0.0260,0.9180
2026-09-01T11:43:42.224043+00:00,0.056588,0.3542,0.0199,0.9229
2026-09-01T11:43:42.272028+00:00,0.057190,0.3475,0.0210,0.9294
2026-09-01T11:43:42.286993+00:00,0.057792,0.3509,0.0237,0.9361
2026-09-01T11:43:42.304276+00:00,0.058394,0.3521,0.0182,0.9378
2026-09-01T11:43:42.313681+00:00,0.058996,0.3544,0.0171,0.9396
2026-09-01T11:43:42.329999+00:00,0.059598,0.3544,0.0166,0.9438
2026-09-01T11:43:42.371080+00:00,0.060200,0.3553,0.0148,0.9387
2026-09-01T11:43:42.379212+00:00,0.060802,0.3567,0.0138,0.9383
2026-09-01T11:43:42.404330+00:00,0.061404,0.3533,0.0157,0.9368
2026-09-01T11:43:42.411735+00:00,0.062006,0.3564,0.0170,0.9289
2026-09-01T11:43:42.427010+00:00,0.062608,0.3531,0.0138,0.9276
2026-09-01T11:43:42.433510+00:00,0.063210,0.3571,0.0160,0.9240
2026-09-01T11:43:42.440117+00:00,0.063812,0.3543,0.0159,0.9212
2026-09-01T11:43:42.444541+00:00,0.064414,0.3558,0.0129,0.9198
2026-09-01T11:43:42.446599+00:00,0.065016,0.3558,0.0143,0.9170
2026-09-01T11:43:42.447852+00:00,0.065618,0.3577,0.0132,0.9220
2026-09-01T11:43:42.448882+00:00,0.066220,0.3543,0.0145,0.9220
2026-09-01T11:43:42.449949+00:00,0.066822,0.3589,0.0131,0.9156
2026-09-01T11:43:42.450941+00:00,0.067424,0.3614,0.0109,0.9187
2026-09-01T11:43:42.452131+00:00,0.068026,0.3577,0.0122,0.9174
2026-09-01T11:43:42.454604+00:00,0.068628,0.3543,0.0110,0.9200
2026-09-01T11:43:42.464017+00:00,0.069230,0.3571,0.0100,0.9234
2026-09-01T11:43:42.465020+00:00,0.069832,0.3575,0.0088,0.9198
2026-09-01T11:43:42.467110+00:00,0.070434,0.3599,0.0060,0.9232
2026-09-01T11:43:42.470108+00:00,0.071036,0.3582,0.0066,0.9205
2026-09-01T11:43:42.471105+00:00,0.071638,0.3600,0.0073,0.9237
2026-09-01T11:43:42.472104+00:00,0.072240,0.3572,0.0056,0.9213
2026-09-01T11:43:42.473104+00:00,0.072842,0.3571,0.0079,0.9215
2026-09-01T11:43:42.474137+00:00,0.073444,0.3558,0.0066,0.9224
2026-09-01T11:43:42.476681+00:00,0.074046,0.3545,0.0127,0.9248
2026-09-01T11:43:42.477681+00:00,0.074648,0.3554,0.0123,0.9300
2026-09-01T11:43:42.478667+00:00,0.075250,0.3561,0.0124,0.9254
2026-09-01T11:43:42.479681+00:00,0.075852,0.3545,0.0148,0.9317
2026-09-01T11:43:42.480681+00:00,0.076454,0.3521,0.0139,0.9251
2026-09-01T11:43:42.481681+00:00,0.077056,0.3538,0.0185,0.9254
2026-09-01T11:43:42.482681+00:00,0.077658,0.3517,0.0135,0.9235
2026-09-01T11:43:42.483681+00:00,0.078260,0.3527,0.0128,0.9239
2026-09-01T11:43:42.484681+00:00,0.078862,0.3503,0.0144,0.9250
2026-09-01T11:43:42.485681+00:00,0.079464,0.3493,0.0132,0.9194
2026-09-01T11:43:42.486681+00:00,0.080066,0.3511,0.0144,0.9220
2026-09-01T11:43:42.487681+00:00,0.080668,0.3509,0.0181,0.9223
2026-09-01T11:43:42.488681+00:00,0.081270,0.3494,0.0151,0.9261
2026-09-01T11:43:42.490659+00:00,0.081872,0.3509,0.0188,0.9289
